baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000104632	84.5178689914134	-0.302158805408375	0.131106226350174	-2.30468692311633	0.0211841137969795	0.101842762604302
ENSDARG00000100422	958.236583613496	0.358785443169331	0.0814967597497129	4.40245040749114	1.0703506112579e-05	0.00033827080626446
ENSDARG00000102128	100.013229771688	-0.0763232883691037	0.157327930374977	-0.485122305919832	0.627589590177431	0.804250779954526
ENSDARG00000103095	103.504430309095	-0.0593751313923905	0.126756194953886	-0.468419957020572	0.639484299091449	0.811635939721643
ENSDARG00000102226	52.607555034345	-0.0690814699077018	0.308404729331766	-0.22399614317648	0.822760304292253	0.91762738951012
ENSDARG00000104049	55.9773220215864	-0.139755906060429	0.147754518893299	-0.945865528223565	0.344217177724808	0.585869140423903
ENSDARG00000102474	1005.78203450787	-0.039503767689731	0.0568306850495666	-0.695113346870209	0.486984271048317	0.703463941564185
ENSDARG00000045911	394.738370744028	-0.083177600457403	0.100488556884731	-0.827732062595097	0.407822256954822	0.639968775949737
ENSDARG00000045910	202.047940951322	0.29172922181355	0.093331977533177	3.12571563920681	0.00177372973922574	0.0175792628551166
ENSDARG00000045909	27.9987395838805	-0.454697660870069	0.231926813376588	-1.96052217615632	0.0499347885857369	0.18230542020968
ENSDARG00000025073	3036.46057040152	-0.266248271692215	0.0924752811546652	-2.87912908582472	0.00398775073152257	0.0310570655774222
ENSDARG00000093924	6.58025269471146	0.382297071213642	0.457472594826929	0.835672072024932	0.403339410849463	0.635992277241962
ENSDARG00000099652	1033.9064359182	-0.035496771125409	0.0508451577940147	-0.6981347421364	0.485092932783266	0.7026361975699
ENSDARG00000101047	81.3462139076141	-0.0924595310079486	0.13973628753289	-0.661671586102402	0.508181718402038	0.719867333674736
ENSDARG00000099833	45.50580467157	-0.296130126400002	0.161189737586012	-1.83715248150947	0.0661873883632037	0.21575021446791
ENSDARG00000103870	200.898019595559	-0.141278463769178	0.14504803943383	-0.97401153659597	0.330050811093145	0.572535048113562
ENSDARG00000096118	51.2766348150836	-0.443535913097831	0.194972291186063	-2.27486639460252	0.0229139458261435	0.107399319801145
ENSDARG00000045900	172.221193056414	0.134073782766645	0.0960660454132744	1.39564173990781	0.162822406486913	0.379410315446628
ENSDARG00000016968	805.115451934651	-0.318085275358287	0.0820804652047007	-3.87528597169879	0.000106499552352265	0.00209626825514796
ENSDARG00000102878	97.684091780982	-0.119897547191074	0.144691766254705	-0.828641119633686	0.407307512814336	0.63959149920313
