name	term	lev	seq	value
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000001818	-1.5894195041960013
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000002600	-1.0647524697709265
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000003399	0.24719224869869652
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000004256	1.0611502933858397
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000005185	0.39944684815896436
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000006901	-0.010332663799300291
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000006911	0.3033643091190728
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000008835	2.5106226404379832
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000009313	-1.1467341304690273
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000010130	-1.702433694867122
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000010146	-2.4494372999044143
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000010700	-0.42769569822100295
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000011163	-1.4238476306767718
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000011701	0.42248815078871216
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000012076	0.49828669567587913
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000012506	-1.3480560856835302
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000012671	-0.03374716980303965
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000012694	-2.7682114723552305
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000013240	-0.8310226728006304
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000013409	-2.1992125508870335
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000013598	-0.5353320743199954
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000013607	-2.247978134509712
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000014358	-1.8291211346039793
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000014556	-0.15456766394917998
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000014796	-5.837521745540912
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000015686	-2.0534548961844603
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000018643	0.8717383694123684
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000018681	0.21132162165877538
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000019235	-0.4373571249058165
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000019353	-2.790557506818096
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000019367	-0.885255887885272
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000019920	-2.5272008723140864
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000019949	-4.272793812980216
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000019995	-0.061076577989361364
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000020072	-0.005540345373273767
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000020084	-1.7516124574586833
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000021004	-1.1976589645894875
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000025348	-5.331344592719526
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000025372	1.219288992330582
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000027087	1.117761662167498
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000029353	10.564761738626968
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000031422	-0.20124391185174198
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000033307	-1.4466954446990703
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000034168	-6.493462994130454
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000034268	-0.8725379917206556
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000034895	0.06373838856672452
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000035677	0.5088907975359974
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000036445	-1.3034926939358304
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000036571	-2.440513135510731
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000036968	4.676274829839433
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000037362	-1.055164332563623
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000038139	-0.43005997237963894
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000038867	-0.23841687452975938
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000038990	-0.5216780798946735
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000039145	-0.43993418350409225
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000039459	-0.847490927247278
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000040159	0.9621554724323252
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000040251	-0.8085228468455076
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000040582	-0.1596631092147495
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000040777	-1.535270831778689
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000040920	-0.8758414436684412
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000040925	-0.9901737862245863
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000041108	1.3650422068619588
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000041430	1.6045827148981413
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000041502	-0.6020252867387582
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000041569	-4.467738325178884
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000041595	-3.0309543196134694
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000041685	3.1470242525015935
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000042210	-2.2346687898267916
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000042545	0.35037148735109946
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000042684	-0.15037840570534244
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000043066	-0.22550278310168134
"extracellular region part"	GO:0005615;GO:0044421	2	ENSDARG00000043081	0.6136783269996803
