name	term	lev	seq	value
"acylglycerol O-acyltransferase activity"	GO:0016411	3	ENSDARG00000006491	-0.07668012139455295
"acylglycerol O-acyltransferase activity"	GO:0016411	3	ENSDARG00000014685	-0.2779477572648308
"acylglycerol O-acyltransferase activity"	GO:0016411	3	ENSDARG00000016048	0.07593260326708384
"acylglycerol O-acyltransferase activity"	GO:0016411	3	ENSDARG00000033436	0.7409495608400848
"acylglycerol O-acyltransferase activity"	GO:0016411	3	ENSDARG00000038308	6.35833285528786
"acylglycerol O-acyltransferase activity"	GO:0016411	3	ENSDARG00000090962	7.9715034036485894
"acylglycerol O-acyltransferase activity"	GO:0016411	3	ENSDARG00000101139	-0.7927705000015198
"acylglycerol O-acyltransferase activity"	GO:0016411	3	ENSDARG00000103320	2.87048337848465
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000001888	-3.5182939834253153
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000005786	-0.08330383155613826
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000009273	-0.8937599238473309
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000009844	-0.20678431086847263
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000010655	0.8201416758434367
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000011496	-1.9723283800046096
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000013858	1.2243849735067693
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000016519	-1.148270875698641
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000017522	0.7087530036480708
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000021380	-1.8401073139308777
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000021483	-0.3175871404844306
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000026499	1.3678206141238656
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000031098	0.8690700799718755
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000032155	-0.13352652728868378
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000043250	0.7733771029163117
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000057016	-0.28066677888375074
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000058571	0.5537838106254286
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000063218	3.532343662197365
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000063684	1.9704502683306802
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000074690	-0.45248635291238715
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000076308	-0.08208059442962634
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000089641	0.10978042901007865
"protein serine/threonine phosphatase activity"	GO:0004722	2	ENSDARG00000101246	0.6016736481294659
"proton-transporting ATP synthase activity, rotational mechanism"	GO:0046933	3	ENSDARG00000001788	0.16982212844263594
"proton-transporting ATP synthase activity, rotational mechanism"	GO:0046933	3	ENSDARG00000010149	0.404702067295978
"proton-transporting ATP synthase activity, rotational mechanism"	GO:0046933	3	ENSDARG00000011553	-0.02419666678605993
"proton-transporting ATP synthase activity, rotational mechanism"	GO:0046933	3	ENSDARG00000019404	0.19745548983018346
"proton-transporting ATP synthase activity, rotational mechanism"	GO:0046933	3	ENSDARG00000037153	0.5772182633867877
"proton-transporting ATP synthase activity, rotational mechanism"	GO:0046933	3	ENSDARG00000045514	0.2690071128509761
"proton-transporting ATP synthase activity, rotational mechanism"	GO:0046933	3	ENSDARG00000070083	-1.6644881993086864
"proton-transporting ATP synthase activity, rotational mechanism"	GO:0046933	3	ENSDARG00000095897	0.7203157455090443
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000003841	5.66210822930519
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000008472	-1.3014061537291521
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000009806	7.2417551401819695
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000020043	0.7370498586560568
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000027689	-0.2987073158616015
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000033259	0.5402750573661261
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000042727	0.8480918558803333
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000053200	-2.601525548048936
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000054597	0.2330167139489831
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000056832	-0.3042362706779275
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000060559	1.9234928281768873
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000068833	-0.33829246213752245
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016796	2	ENSDARG00000074675	-0.6212420214826752
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000002666	-0.25452540551959857
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000023236	3.4474470715145635
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000024167	0.23771011120136631
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000032959	-0.45531719235386303
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000040741	-0.9113903108535398
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000043443	0.6214725493696379
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000045067	-3.144497741270922
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000051852	-0.10515629281836147
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000051880	-1.402769085087414
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000055855	-0.8426306284773224
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000056101	0.3798882113929347
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000057468	0.2636911770818832
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000059747	0.25535691596015603
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000059798	-1.0085577738696645
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000061665	0.17528003205075374
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000061685	1.3667109993220081
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000061990	0.8655424310108737
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000062217	10.376991829438344
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000062640	0.7664268768608312
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000062672	1.5287238770177691
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000062687	0.4164300153937331
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000062967	-0.25467393225691093
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000068242	2.349778298605775
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000074746	-0.06920435602053265
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000075307	1.4673128483204836
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000079840	0.6062303921662624
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000088842	2.484857252368966
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000089490	0.44071547582575477
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000091232	-0.040885640563533825
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000093267	-0.16338320791272376
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000102064	4.526208988851411
"potassium channel activity"	GO:0005249;GO:0005267	3	ENSDARG00000102968	0.8118314417783696
