"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
276 0.305255570244971 2 45 "GO:0000149" "SNARE binding" 0.571537226700512
-155 0.492360361206545 2 64 "GO:0000287" "magnesium ion binding" 0.701613514719327
180 0.273535453362179 3 122 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.531529119601507
53 0.799442676713939 8 75 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region sequence-specific DNA binding" 0.873267787532652
225 0.162168202677412 3 127 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.379873461066266
265 0.133662607762228 2 105 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.357129780114703
336 0.307493712610802 2 30 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.571537226700512
-328 0.238121588584976 3 42 "GO:0001664" "G-protein coupled receptor binding" 0.479044607623893
526 0.0172554971865803 2 67 "GO:0003682" "chromatin binding" 0.109284815515009
183 0.0666466260727024 2 342 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.258496987317941
-27 0.924783495089942 2 41 "GO:0003707" "steroid hormone receptor activity" 0.941297486073691
440 0.105560460695158 3 44 "GO:0003713" "transcription coactivator activity" 0.322823406958887
812 1.22692759881242e-16 4 356 "GO:0003723" "RNA binding" 2.09804619396924e-14
1092 0.000105715262222647 2 41 "GO:0003729" "mRNA binding" 0.00361546196801453
460 0.00254900441941703 2 142 "GO:0003735" "structural constituent of ribosome" 0.0327791799808994
536 0.0977915915972201 3 31 "GO:0003743" "translation initiation factor activity" 0.315516267228767
-122 0.573858310423203 3 69 "GO:0003774" "motor activity" 0.744967589449518
39 0.893953847498971 2 38 "GO:0003777" "microtubule motor activity" 0.920880168206771
-120 0.475531525416027 3 116 "GO:0003779" "actin binding" 0.700999059018453
404 0.0529088402259332 2 75 "GO:0003924" "GTPase activity" 0.231984914836784
1131 0.000167669089166177 2 36 "GO:0004004;GO:0003724;GO:0008186" "RNA helicase activity" 0.00477856904123604
-192 0.167017105189191 4 172 "GO:0004175" "endopeptidase activity" 0.385944932261509
-338 0.204422637498979 2 46 "GO:0004197" "cysteine-type endopeptidase activity" 0.43975517425054
-393 0.127377991362278 6 49 "GO:0004222" "metalloendopeptidase activity" 0.348922515627573
-608 0.00917274625777832 3 60 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 0.0740721748853945
555 0.00742053109826643 2 76 "GO:0004386" "helicase activity" 0.0726425195491869
-391 0.0814341957831509 3 65 "GO:0004497" "monooxygenase activity" 0.285017966300783
-238 0.226237278310056 4 85 "GO:0004518" "nuclease activity" 0.466103308325537
-60 0.80270299504535 2 57 "GO:0004519" "endonuclease activity" 0.873267787532652
-222 0.45400806554189 2 37 "GO:0004520;GO:0004536" "deoxyribonuclease activity" 0.695891143019349
234 0.461776773975814 2 32 "GO:0004540" "ribonuclease activity" 0.695891143019349
-503 0.00996292410739224 2 86 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.0740721748853945
-116 0.68015754248184 2 41 "GO:0004620;GO:0016298" "lipase activity" 0.780583488351642
87 0.3605967977939 2 379 "GO:0004672" "protein kinase activity" 0.622849014371282
71 0.562965668573676 3 224 "GO:0004674" "protein serine/threonine kinase activity" 0.743218841625527
-238 0.319791699727441 3 57 "GO:0004702;GO:0005057" "receptor signaling protein activity" 0.581748730355238
152 0.464540347984308 3 76 "GO:0004713" "protein tyrosine kinase activity" 0.695891143019349
217 0.46441574969646 4 37 "GO:0004714" "transmembrane receptor protein tyrosine kinase activity" 0.695891143019349
-53 0.87239136033592 2 30 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 0.909627576935624
84 0.629980829457558 2 109 "GO:0004721" "phosphoprotein phosphatase activity" 0.748126155533347
-116 0.60174044234765 3 66 "GO:0004725" "protein tyrosine phosphatase activity" 0.745612016064779
227 0.160672998560292 2 126 "GO:0004842;GO:0019787;GO:0016881" "acid-amino acid ligase activity" 0.379873461066266
-73 0.69548696439357 2 94 "GO:0004857" "enzyme inhibitor activity" 0.79285513940867
-122 0.601777745951531 2 60 "GO:0004866;GO:0030414;GO:0061135;GO:0061134" "peptidase regulator activity" 0.745612016064779
-62 0.565020171996015 2 290 "GO:0004888" "transmembrane signaling receptor activity" 0.743218841625527
39 0.790063457911122 2 155 "GO:0004930" "G-protein coupled receptor activity" 0.873267787532652
-614 0.00177413962406634 1 85 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.0275798068832131
-563 0.0324182646538366 3 47 "GO:0005089;GO:0005088" "Ras guanyl-nucleotide exchange factor activity" 0.171291898905112
-393 0.0010822646871212 2 232 "GO:0005102" "receptor binding" 0.0205630290553028
64 0.818737894735348 2 42 "GO:0005125;GO:0005126" "cytokine receptor binding" 0.880529433960657
62 0.589747939160238 1 251 "GO:0005198" "structural molecule activity" 0.744967589449518
-89 0.261858927165095 1 558 "GO:0005215" "transporter activity" 0.520672983084084
-389 0.00544611183551259 3 170 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "passive transmembrane transporter activity" 0.0620856749248435
-530 0.0816718149049027 2 35 "GO:0005230" "extracellular ligand-gated ion channel activity" 0.285017966300783
-250 0.373953308970247 4 41 "GO:0005249;GO:0005267" "potassium channel activity" 0.633128869642695
-441 0.0139132448175938 4 102 "GO:0005261" "cation channel activity" 0.0951665945523416
-782 0.00922509876018543 2 36 "GO:0005262" "calcium channel activity" 0.0740721748853945
3 0.991585231448689 3 38 "GO:0005319" "lipid transporter activity" 0.991585231448689
-498 0.00770672256209967 6 94 "GO:0005506" "iron ion binding" 0.0726425195491869
-595 6.73302783719465e-08 2 278 "GO:0005509" "calcium ion binding" 5.75673880080143e-06
138 0.224700943975495 3 262 "GO:0005525;GO:0032561;GO:0019001" "guanyl nucleotide binding" 0.466103308325537
275 0.147320497651688 2 91 "GO:0005543" "phospholipid binding" 0.372811051199886
53 0.796163015679377 3 77 "GO:0008017;GO:0015631" "tubulin binding" 0.873267787532652
896 0.000582644812762896 8 48 "GO:0008026;GO:0070035" "purine NTP-dependent helicase activity" 0.014233180426065
-228 0.151657574353717 2 131 "GO:0008047;GO:0030695;GO:0060589;GO:0005096" "enzyme activator activity" 0.372811051199886
-183 0.487148173854311 3 47 "GO:0008081" "phosphoric diester hydrolase activity" 0.701613514719327
-558 0.0341031456632295 2 47 "GO:0008083" "growth factor activity" 0.171291898905112
-87 0.490794780439649 2 210 "GO:0008092" "cytoskeletal protein binding" 0.701613514719327
-235 0.453170552772934 5 33 "GO:0008094" "DNA-dependent ATPase activity" 0.695891143019349
920 0.00124708033911989 2 40 "GO:0008134" "transcription factor binding" 0.0213250737989501
652 0.0099015996512475 2 51 "GO:0008135" "translation factor activity, nucleic acid binding" 0.0740721748853945
663 0.0346493849255968 2 33 "GO:0008138" "protein tyrosine/serine/threonine phosphatase activity" 0.171291898905112
-529 0.0572218310435328 4 42 "GO:0008146;GO:0016782" "transferase activity, transferring sulfur-containing groups" 0.244623327711103
166 0.314764431805906 2 121 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.578760406868924
439 0.175182453854467 4 31 "GO:0008171" "O-methyltransferase activity" 0.399415994788185
476 0.108551275222952 3 37 "GO:0008173" "RNA methyltransferase activity" 0.325653825668856
103 0.650094037914638 4 63 "GO:0008194" "UDP-glycosyltransferase activity" 0.760685390596617
-237 0.0373755237710996 2 261 "GO:0008233;GO:0070011" "peptidase activity" 0.177533737912723
-117 0.56063054030259 2 81 "GO:0008234" "cysteine-type peptidase activity" 0.743218841625527
-513 0.0128842169724852 5 77 "GO:0008237" "metallopeptidase activity" 0.091800045928957
-347 0.229921599969885 2 39 "GO:0008238" "exopeptidase activity" 0.46805468565298
36 0.614802890439379 2 717 "GO:0008270;GO:0046914" "transition metal ion binding" 0.745612016064779
277 0.0680255229784056 2 144 "GO:0008289" "lipid binding" 0.258496987317941
-212 0.463128028292691 2 39 "GO:0008375" "acetylglucosaminyltransferase activity" 0.695891143019349
-449 0.152612711017497 5 33 "GO:0008378" "galactosyltransferase activity" 0.372811051199886
-30 0.850841642039209 3 128 "GO:0008509" "anion transmembrane transporter activity" 0.897242363146223
61 0.838222076533281 2 36 "GO:0008528;GO:0001653" "peptide receptor activity" 0.895849844294944
371 0.193762128509274 3 40 "GO:0008565" "protein transporter activity" 0.430302908767349
286 0.151726731848613 4 82 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity" 0.372811051199886
333 0.296047730054664 3 32 "GO:0008766;GO:0018169;GO:0070739;GO:0043773;GO:0043774;GO:0070735;GO:0070736;GO:0070737;GO:0070738;GO:0070740" "protein-glutamic acid ligase activity" 0.562490687103862
-529 0.0490525091959157 1 45 "GO:0009055" "electron carrier activity" 0.226702137094637
-88 0.287793223825039 2 511 "GO:0015075;GO:0022891;GO:0022857;GO:0022892" "substrate-specific transporter activity" 0.552951025551479
-77 0.592488843070962 2 162 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 0.744967589449518
120 0.607771444534249 8 60 "GO:0015078" "hydrogen ion transmembrane transporter activity" 0.745612016064779
-152 0.531400341777328 4 55 "GO:0015079" "potassium ion transmembrane transporter activity" 0.732818213257444
-147 0.54198503833381 4 56 "GO:0015081" "sodium ion transmembrane transporter activity" 0.735551123453028
-195 0.467996967527632 2 45 "GO:0015103" "inorganic anion transmembrane transporter activity" 0.695891143019349
-153 0.630000973080713 7 32 "GO:0015108" "chloride transmembrane transporter activity" 0.748126155533347
-157 0.581881987377284 4 40 "GO:0015171" "amino acid transmembrane transporter activity" 0.744967589449518
-440 0.0657016095701252 6 57 "GO:0015276;GO:0022834" "ligand-gated ion channel activity" 0.258496987317941
-80 0.653922528758495 2 102 "GO:0015291" "secondary active transmembrane transporter activity" 0.760685390596617
-88 0.716332881805081 2 56 "GO:0015293;GO:0015294" "symporter activity" 0.811211409196482
-280 0.37945615179533 2 32 "GO:0015296" "anion:cation symporter activity" 0.636147078009818
31 0.912103977531538 5 42 "GO:0015297" "antiporter activity" 0.933950779388581
56 0.855266112238797 2 34 "GO:0015929" "hexosaminidase activity" 0.897242363146223
219 0.35906154299767 2 57 "GO:0016279;GO:0008276;GO:0016278;GO:0008170" "protein methyltransferase activity" 0.622849014371282
105 0.200801408544737 4 521 "GO:0016301;GO:0016773" "kinase activity" 0.43975517425054
394 0.118711447465754 2 51 "GO:0016410;GO:0008080;GO:0016407" "N-acyltransferase activity" 0.338327625277399
-293 0.000952067684990533 2 441 "GO:0016491" "oxidoreductase activity" 0.0203504467666726
173 0.443402965712592 2 64 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 0.695891143019349
-563 0.0647648495173195 2 35 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 0.258496987317941
-484 0.0895948370793867 2 40 "GO:0016651" "oxidoreductase activity, acting on NAD(P)H" 0.30579105020645
-382 0.0350597453899353 2 100 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 0.171291898905112
184 0.273204390585806 3 117 "GO:0016746;GO:0016747" "transferase activity, transferring acyl groups" 0.531529119601507
-131 0.347255706798582 2 171 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.618549227734974
-134 0.439349216042213 2 110 "GO:0016758" "transferase activity, transferring hexosyl groups" 0.695891143019349
70 0.365104893791397 2 607 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.624329368383289
