GO:0003002	GO:0055085	GO:0032989	GO:0045892;GO:0010629;GO:1902679;GO:2000113;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0045934;GO:0051172	GO:0048598	GO:0007017	GO:0019725	GO:0006520	GO:0009653	GO:0006397;GO:0016071	GO:0016192	GO:0044707;GO:0032501	GO:1902582	GO:0006412	GO:0006955	GO:0022607	GO:0006508	GO:0006396	GO:0045595	GO:1902531	GO:1901135	GO:0050790;GO:0065009	GO:0009628	GO:0016568	GO:0048513	GO:0019752;GO:0043436;GO:0006082	GO:0002376	GO:0006259	GO:0006796;GO:0006793	GO:0015031;GO:0045184	GO:0016567;GO:0032446	GO:0007346	GO:0034622	GO:0051049	GO:0048534	GO:1901566	GO:0051276;GO:0006325	GO:0044265;GO:0009057	GO:0022603	GO:0045893;GO:0010628;GO:1902680;GO:0010557;GO:0031328;GO:0051254;GO:0009891;GO:0045935;GO:0051173	GO:0035556	GO:0090407	GO:0048584;GO:0009967;GO:0010647;GO:0023056	GO:0007186	GO:0048731	GO:0071822;GO:0043933	GO:0007166	GO:0031329;GO:0009894	GO:0007010	GO:0006351;GO:0032774	GO:0070925	GO:0007154	GO:0006928	GO:0044255;GO:0006629	GO:0009605	GO:0006811	GO:0016070	GO:1902589	GO:0006468;GO:0016310	GO:0002009;GO:0048729	GO:0007167	GO:0032270;GO:0051247	GO:0044093	GO:0065003	GO:0016477;GO:0048870;GO:0040011	GO:0015672	GO:0033554	GO:0044248;GO:1901575;GO:0009056	GO:0070647	GO:0006281;GO:0006974	GO:0022402	GO:0046907;GO:0051649	GO:0034654;GO:0018130;GO:0019438;GO:0044271;GO:1901362	GO:0006950	GO:0034470;GO:0034660	GO:0071702	GO:0006511;GO:0019941;GO:0043632;GO:0051603	GO:0048878	GO:0007389	GO:0055114	GO:0034220	GO:0048523;GO:0048519	GO:0048518;GO:0048522	GO:0007169	GO:0006812	GO:0050793;GO:2000026;GO:0051239	GO:0016482	GO:0030001	GO:0019220;GO:0051174	GO:0018193	GO:0051726	GO:0008610	GO:0006461	GO:0042325;GO:0001932;GO:0031399	GO:0009117;GO:0006753;GO:0055086	GO:0042127	GO:0044711	GO:0007264	GO:0009888	GO:0006820	GO:0048468	GO:0042981;GO:0043067;GO:0010941	GO:0048646	GO:0003008	GO:0007155;GO:0022610	GO:0019637	GO:0060284;GO:0050767;GO:0051960	GO:0030030	GO:0006886	GO:0048869	GO:0048585;GO:0009968;GO:0010648;GO:0023057	GO:0071310;GO:0070887	GO:0031324;GO:0009892;GO:0010605	GO:0032268;GO:0051246	GO:0044723	GO:0009966;GO:0010646;GO:0023051;GO:0048583	GO:0001667	GO:0005975	GO:0010604;GO:0009893;GO:0031325	GO:0010033;GO:0042221	GO:0034645;GO:0009059	GO:0009887	GO:0006357	GO:0001525	GO:0044281	GO:0044712	GO:0007049	GO:0006996	GO:1901137	GO:0030154	GO:0006644	GO:0032879	GO:0007275	GO:0040007	GO:1901564	GO:0033043	GO:0009719;GO:0071495	GO:0009165;GO:1901293	GO:0042592	GO:0051128	GO:0065008
0	0.987	0.889	0.929	0.686	0.955	0.982	0.992	0.474	0.979	0.987	0.000	1.000	0.994	0.980	0.865	0.968	0.981	0.859	0.917	0.981	0.942	0.985	0.975	0.641	0.981	0.986	0.994	0.872	0.994	0.987	0.980	0.981	0.966	0.931	0.994	0.981	0.994	0.840	0.953	0.936	1.000	0.859	0.987	0.833	0.929	0.647	0.982	0.962	0.827	0.921	0.930	0.782	0.981	0.962	0.987	0.808	0.936	0.885	0.744	0.865	0.908	0.950	0.949	0.840	0.982	0.974	0.981	0.987	0.994	0.981	0.974	0.827	0.942	1.000	0.987	0.994	0.991	0.000	0.987	1.000	0.744	0.788	0.944	0.987	0.750	0.991	0.987	0.891	0.986	0.974	1.000	0.955	0.885	0.994	0.944	0.994	0.981	0.788	1.000	0.801	0.910	0.417	0.915	0.962	0.994	0.935	0.910	1.000	0.532	0.865	0.949	0.897	0.910	0.987	0.660	0.880	0.987	0.885	0.936	0.814	0.810	0.865	0.948	0.981	0.986	0.990	0.923	0.994	0.744	0.990	0.955	0.782	0.852	0.987	0.972	0.966	1.000	0.981	0.955	0.910
0.987	0	0.993	1.000	0.967	1.000	0.670	1.000	0.961	1.000	1.000	0.928	0.908	0.886	0.990	0.950	0.991	1.000	1.000	0.995	0.910	0.971	0.897	1.000	0.978	0.988	0.973	1.000	0.939	0.947	0.994	1.000	0.970	0.622	0.980	0.888	1.000	0.995	0.988	0.993	0.994	0.871	0.986	0.985	0.988	0.949	0.992	1.000	0.981	0.997	0.992	0.877	0.974	0.993	0.940	0.301	0.997	0.976	1.000	0.971	1.000	1.000	1.000	0.933	0.961	0.145	0.983	0.992	0.995	1.000	1.000	0.939	0.930	0.955	1.000	0.799	0.994	0.565	0.983	0.992	0.000	0.997	0.972	1.000	0.258	0.955	0.855	0.262	1.000	1.000	1.000	1.000	0.906	1.000	0.870	1.000	0.930	1.000	0.973	0.465	0.968	1.000	0.986	0.866	0.995	0.915	1.000	1.000	0.896	0.950	0.994	0.977	1.000	1.000	1.000	0.969	0.968	1.000	0.996	0.952	0.930	0.983	1.000	0.983	0.930	0.993	1.000	0.955	0.872	0.975	0.990	0.762	1.000	0.981	0.928	0.986	0.980	0.810	0.728	0.993	0.772
0.889	0.993	0	0.985	0.815	0.889	0.973	1.000	0.000	0.970	0.963	0.704	0.933	1.000	0.980	0.837	0.978	0.963	0.837	0.956	0.963	0.933	0.963	0.992	0.756	1.000	0.978	0.978	0.867	0.941	1.000	0.960	0.985	0.966	0.941	0.985	0.985	0.978	0.881	0.963	0.904	0.978	0.933	0.963	0.874	0.926	0.837	0.946	0.919	0.948	0.906	0.965	0.696	0.970	0.956	0.978	0.919	0.904	0.926	0.830	0.963	0.991	0.942	0.970	0.807	1.000	0.933	0.963	1.000	0.978	0.963	0.911	0.926	0.919	0.993	0.941	0.985	0.974	0.837	0.993	1.000	0.807	0.807	0.953	0.985	0.793	0.973	0.985	0.970	0.970	0.948	1.000	0.970	1.000	0.978	0.953	0.978	0.956	0.911	1.000	0.874	0.904	0.719	0.956	0.948	0.963	0.863	0.281	0.993	0.000	0.963	0.963	0.985	0.993	0.985	0.859	0.864	0.985	0.956	0.948	0.941	0.914	0.970	0.904	0.978	0.985	0.981	0.859	0.970	0.822	0.980	0.881	0.889	0.852	0.978	0.948	0.985	0.971	0.970	0.844	0.933
0.929	1.000	0.985	0	0.928	0.981	0.982	0.992	0.873	0.929	1.000	0.795	0.988	0.994	0.920	0.916	0.982	0.952	0.861	0.952	1.000	0.928	0.868	0.822	0.873	0.994	0.926	0.916	0.988	0.994	0.964	0.950	0.964	0.975	0.931	0.994	0.855	0.940	0.970	0.887	0.970	1.000	0.951	0.988	0.964	0.928	0.910	0.982	0.988	0.705	0.984	0.947	0.952	0.994	0.934	0.994	0.639	0.886	0.988	0.952	0.962	0.917	0.950	0.946	0.970	1.000	0.904	0.934	0.964	0.922	0.950	0.982	0.699	0.855	0.975	0.988	0.981	0.991	0.916	0.982	1.000	0.000	0.825	0.991	0.994	0.813	0.982	0.994	0.940	0.966	0.904	1.000	0.958	0.934	1.000	0.850	0.994	1.000	0.928	1.000	0.940	0.873	0.934	0.965	0.994	1.000	0.887	0.982	0.994	0.813	0.936	0.892	0.000	0.807	1.000	0.849	0.960	1.000	0.855	0.873	0.687	0.957	0.633	0.983	0.994	1.000	0.952	0.831	1.000	0.873	1.000	0.976	0.898	0.935	0.988	0.952	0.919	1.000	0.976	0.946	0.952
0.686	0.967	0.815	0.928	0	0.904	0.938	0.976	0.000	0.979	0.968	0.561	0.963	1.000	0.970	0.864	0.973	0.989	0.855	0.937	0.959	0.930	0.963	0.966	0.658	0.972	0.959	0.995	0.860	0.967	0.976	0.970	0.975	0.908	0.891	0.977	0.976	0.985	0.775	0.920	0.920	0.981	0.852	0.950	0.750	0.920	0.801	0.982	0.907	0.884	0.819	0.930	0.751	0.969	0.940	0.960	0.874	0.927	0.894	0.314	0.848	0.899	0.934	0.963	0.741	0.964	0.979	0.977	0.981	0.984	0.925	0.920	0.870	0.947	0.988	0.960	0.987	0.930	0.669	0.980	0.957	0.867	0.834	0.869	0.961	0.791	0.955	0.951	0.932	0.952	0.972	0.991	0.948	0.919	0.963	0.897	0.977	0.942	0.659	0.992	0.764	0.897	0.698	0.873	0.890	0.965	0.863	0.832	0.968	0.631	0.917	0.959	0.944	0.935	0.967	0.794	0.656	0.976	0.911	0.953	0.870	0.310	0.912	0.861	0.957	0.971	0.971	0.907	0.951	0.771	0.960	0.883	0.789	0.750	0.977	0.952	0.953	0.971	0.940	0.912	0.910
0.955	1.000	0.889	0.981	0.904	0	0.991	1.000	0.776	1.000	0.974	0.808	0.801	1.000	1.000	0.705	1.000	1.000	0.968	0.942	1.000	0.942	0.985	1.000	0.891	1.000	0.993	0.981	0.936	0.968	1.000	0.941	0.917	0.983	0.990	1.000	0.968	1.000	0.974	0.993	0.962	1.000	0.965	1.000	0.929	0.718	0.936	0.991	0.551	0.981	0.732	1.000	0.462	0.994	0.994	1.000	0.981	0.513	0.955	0.917	1.000	0.972	0.992	0.814	0.910	1.000	0.974	1.000	1.000	0.974	0.647	0.699	0.981	0.968	1.000	0.968	1.000	1.000	0.885	1.000	1.000	0.891	0.904	1.000	1.000	0.936	0.973	1.000	0.987	0.980	0.910	1.000	0.814	0.981	1.000	0.981	1.000	0.987	0.987	1.000	0.923	0.942	0.801	0.979	0.981	0.994	0.984	0.763	0.987	0.795	0.962	0.994	0.968	0.955	1.000	0.885	0.928	1.000	0.974	0.987	0.974	0.931	0.994	0.974	1.000	1.000	0.894	0.513	1.000	0.891	0.990	0.968	0.917	0.963	1.000	0.855	0.993	1.000	0.981	0.859	0.955
0.982	0.670	0.973	0.982	0.938	0.991	0	0.991	0.884	0.991	0.973	0.866	0.964	1.000	1.000	0.893	1.000	0.982	1.000	0.973	0.955	0.946	0.946	1.000	0.911	0.982	0.991	1.000	0.893	0.982	1.000	1.000	0.955	0.955	0.970	0.955	1.000	1.000	1.000	1.000	0.955	0.973	0.991	0.964	0.982	0.929	0.929	0.973	0.982	1.000	0.973	0.955	0.955	1.000	0.964	0.536	0.982	0.982	0.946	0.955	1.000	0.982	0.946	0.929	0.955	0.918	0.866	0.982	1.000	1.000	0.991	0.964	0.955	0.812	0.991	0.929	1.000	0.357	0.973	0.929	0.777	0.911	0.911	1.000	0.625	0.938	0.982	0.714	0.973	0.973	1.000	1.000	0.938	0.982	0.955	0.972	0.946	1.000	0.982	0.920	0.964	0.964	0.955	0.920	1.000	0.964	1.000	0.973	1.000	0.920	0.964	0.955	0.982	0.973	0.973	0.920	0.964	0.973	0.982	0.920	0.982	1.000	1.000	0.991	0.902	0.982	1.000	0.946	0.964	0.973	1.000	0.938	0.982	0.981	0.946	1.000	0.991	0.971	0.000	0.973	0.000
0.992	1.000	1.000	0.992	0.976	1.000	0.991	0	0.976	1.000	1.000	0.976	1.000	0.919	0.990	0.992	0.976	0.976	1.000	1.000	0.871	0.992	0.992	1.000	0.976	0.000	0.984	1.000	0.911	1.000	1.000	1.000	1.000	1.000	1.000	0.581	1.000	0.984	1.000	1.000	1.000	0.935	1.000	1.000	0.992	0.992	1.000	1.000	1.000	1.000	1.000	1.000	0.984	0.960	0.984	0.976	0.782	0.984	1.000	0.992	1.000	1.000	0.992	0.992	0.984	1.000	1.000	0.815	1.000	1.000	1.000	1.000	0.750	0.976	0.782	0.976	0.984	1.000	0.992	0.766	1.000	0.984	1.000	1.000	0.976	1.000	1.000	1.000	1.000	0.976	1.000	0.983	0.992	1.000	0.887	1.000	0.573	1.000	1.000	0.976	0.984	0.992	1.000	0.984	1.000	0.919	1.000	1.000	1.000	0.976	1.000	0.984	0.992	1.000	1.000	1.000	0.992	1.000	1.000	0.976	0.919	0.991	1.000	1.000	0.000	0.815	1.000	0.976	0.935	0.992	0.960	0.992	1.000	1.000	0.000	1.000	0.984	0.943	0.992	1.000	0.976
0.474	0.961	0.000	0.873	0.000	0.776	0.884	0.976	0	0.950	0.941	0.619	0.908	1.000	0.930	0.843	0.934	0.964	0.651	0.869	0.934	0.844	0.897	0.924	0.618	0.960	0.919	0.973	0.879	0.930	0.970	0.881	0.960	0.849	0.762	0.963	0.942	0.934	0.592	0.827	0.900	0.961	0.761	0.936	0.517	0.887	0.819	0.892	0.784	0.848	0.732	0.842	0.586	0.927	0.869	0.949	0.877	0.846	0.895	0.000	0.766	0.862	0.826	0.918	0.530	0.964	0.931	0.933	0.944	0.962	0.830	0.881	0.879	0.925	0.975	0.942	0.936	0.861	0.456	0.966	0.950	0.814	0.812	0.757	0.948	0.675	0.918	0.933	0.893	0.905	0.903	0.939	0.895	0.873	0.950	0.776	0.955	0.899	0.505	0.969	0.630	0.803	0.531	0.761	0.819	0.934	0.645	0.340	0.942	0.511	0.782	0.908	0.887	0.899	0.961	0.778	0.440	0.973	0.844	0.907	0.882	0.000	0.859	0.643	0.955	0.920	0.875	0.885	0.927	0.619	0.901	0.762	0.626	0.583	0.963	0.869	0.932	0.962	0.875	0.796	0.874
0.979	1.000	0.970	0.929	0.979	1.000	0.991	1.000	0.950	0	0.993	0.943	0.986	1.000	1.000	0.922	1.000	0.128	0.972	1.000	1.000	0.979	0.985	0.983	0.943	1.000	0.993	0.979	0.965	0.993	1.000	1.000	0.922	0.975	0.970	1.000	0.972	0.745	0.993	0.957	1.000	1.000	0.993	1.000	0.972	0.915	1.000	0.973	1.000	0.943	0.992	1.000	1.000	1.000	1.000	1.000	0.000	0.986	0.972	0.986	1.000	0.972	0.975	0.922	1.000	1.000	0.965	0.745	1.000	0.972	0.993	0.957	0.943	0.957	0.915	0.922	0.965	0.991	0.979	0.993	1.000	0.901	0.922	1.000	1.000	0.972	0.955	1.000	1.000	0.986	1.000	1.000	0.993	1.000	1.000	1.000	1.000	1.000	0.986	1.000	0.986	0.986	0.979	0.993	1.000	1.000	0.984	0.986	0.993	0.922	0.986	0.993	0.929	0.915	1.000	0.979	1.000	1.000	0.957	0.993	0.943	1.000	1.000	0.991	1.000	1.000	0.990	0.965	1.000	0.957	1.000	0.979	0.979	1.000	1.000	0.979	1.000	1.000	0.993	0.972	0.972
