GO:0031090	GO:0005887	GO:0019898	GO:0044454	GO:0031301	GO:0044433	GO:0005840	GO:0005730	GO:0015934	GO:0043005	GO:0022625	GO:0005886	GO:0044441	GO:0005829	GO:0044445	GO:0031974	GO:0005794	GO:0044431	GO:0030054	GO:0005875	GO:0044463	GO:0005815	GO:0044432	GO:0016023;GO:0031410;GO:0031988;GO:0031982	GO:0044429	GO:0010008;GO:0044440	GO:0031966	GO:0005743;GO:0019866	GO:0005874	GO:0098589;GO:0005789	GO:0044456	GO:0005667	GO:0005615;GO:0044421	GO:0005622	GO:0045202	GO:0000785	GO:0044427	GO:0005783	GO:1990234	GO:0044430	GO:0016459	GO:0032993	GO:0044428	GO:0044451	GO:0044455	GO:0042995	GO:0000151	GO:0005741;GO:0031968;GO:0019867	GO:0005681	GO:0030532	GO:0098590	GO:0005764;GO:0000323;GO:0005773	GO:0005871	GO:0016604	GO:0044459	GO:0044437;GO:0005774	GO:0000139	GO:0031461	GO:1902494	GO:0005694	GO:0043235	GO:0043232;GO:0043228	GO:0009986	GO:0045211;GO:0097060	GO:1990204	GO:0000786;GO:0044815;GO:1990104	GO:0005576	GO:0005739	GO:0005856	GO:0098588	GO:0034703	GO:0035770	GO:0070013;GO:0043233	GO:0005768	GO:0097458	GO:0005929	GO:0044391	GO:0030529	GO:0005578;GO:0031012	GO:0034702;GO:1902495;GO:1990351	GO:0015935	GO:0031248;GO:1902493	GO:0005813	GO:0005911
0	0.966	0.857	1.000	0.714	0.421	1.000	0.985	0.980	0.872	1.000	0.934	0.838	0.882	1.000	0.939	0.582	0.306	0.977	1.000	0.887	0.938	0.286	0.724	0.417	0.140	0.000	0.000	0.976	0.129	0.907	1.000	1.000	0.983	0.958	1.000	1.000	0.487	0.969	0.965	1.000	1.000	0.936	0.994	0.531	0.882	0.965	0.000	1.000	1.000	0.677	0.721	1.000	1.000	0.954	0.184	0.000	0.964	0.953	1.000	1.000	0.971	1.000	0.977	0.833	1.000	0.995	0.687	0.945	0.000	0.969	1.000	0.917	0.538	0.909	0.854	0.989	0.997	1.000	0.946	1.000	1.000	0.943	0.985
0.966	0	1.000	1.000	0.921	0.974	1.000	1.000	1.000	0.692	1.000	0.821	1.000	1.000	0.989	1.000	0.987	0.978	0.879	1.000	0.962	1.000	0.963	0.966	1.000	1.000	1.000	1.000	1.000	0.951	0.813	1.000	0.996	1.000	0.778	1.000	1.000	0.968	1.000	0.992	1.000	1.000	0.985	1.000	1.000	0.891	1.000	1.000	1.000	1.000	0.903	1.000	1.000	1.000	0.000	1.000	0.967	1.000	1.000	1.000	0.893	1.000	0.769	0.721	1.000	1.000	1.000	0.996	1.000	0.970	1.000	1.000	1.000	0.967	0.682	1.000	1.000	1.000	0.974	0.986	1.000	1.000	1.000	0.879
0.857	1.000	0	1.000	1.000	0.921	1.000	1.000	1.000	1.000	1.000	0.939	1.000	0.939	0.980	1.000	1.000	1.000	0.918	1.000	1.000	0.959	1.000	0.918	0.980	0.930	0.980	0.980	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.959	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.510	1.000	1.000	1.000	1.000	1.000	1.000	0.653	1.000	1.000	1.000	1.000	1.000	0.980	0.653	0.939	1.000	1.000	1.000	0.796	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.980	0.980
1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	1.000	1.000	0.986	0.984	0.981	0.944	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	0.941	0.944	0.972	1.000	0.409	0.000	1.000	0.931	0.944	1.000	0.694	0.000	0.750	1.000	0.986	0.972	1.000	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	0.764	0.778	1.000	0.750	1.000	1.000	1.000	0.778	1.000	1.000	0.986	1.000	1.000	1.000	1.000	1.000	0.985	1.000	1.000	1.000	1.000	1.000	1.000	0.967	0.943	0.985
0.714	0.921	1.000	1.000	0	0.895	0.984	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	0.810	0.683	1.000	1.000	1.000	1.000	0.698	0.937	0.857	1.000	0.889	0.937	0.984	0.952	0.952	1.000	0.984	1.000	1.000	1.000	1.000	0.873	0.968	0.984	1.000	1.000	0.905	1.000	0.816	1.000	1.000	0.923	1.000	1.000	1.000	0.968	1.000	1.000	0.921	0.959	0.968	1.000	0.968	1.000	1.000	0.984	1.000	1.000	1.000	1.000	1.000	0.889	1.000	0.794	0.969	1.000	1.000	1.000	1.000	1.000	1.000	0.984	1.000	0.968	1.000	1.000	1.000	1.000
0.421	0.974	0.921	1.000	0.895	0	1.000	1.000	1.000	0.974	1.000	0.868	1.000	0.921	1.000	0.974	0.763	0.632	0.921	1.000	1.000	1.000	0.895	0.447	1.000	0.947	1.000	1.000	1.000	0.895	0.763	1.000	1.000	1.000	0.947	1.000	1.000	0.895	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.974	1.000	1.000	1.000	1.000	0.968	1.000	1.000	1.000	0.895	1.000	0.868	1.000	1.000	1.000	1.000	0.974	1.000	1.000	1.000	1.000	0.974	1.000	0.974	0.658	1.000	1.000	0.972	0.816	0.974	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.974
1.000	1.000	1.000	1.000	0.984	1.000	0	0.985	0.163	1.000	0.097	1.000	1.000	0.992	0.418	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.992	1.000	0.779	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.393	1.000	1.000	1.000	1.000	0.992	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.992	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.828	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.112	0.000	1.000	1.000	0.051	0.967	1.000	1.000
0.985	1.000	1.000	1.000	1.000	1.000	0.985	0	0.980	1.000	0.968	1.000	1.000	1.000	0.971	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.985	1.000	1.000	1.000	1.000	0.985	1.000	0.977	0.985	1.000	0.956	0.941	1.000	1.000	0.000	0.912	1.000	1.000	1.000	1.000	0.966	0.972	1.000	1.000	1.000	0.900	1.000	1.000	1.000	1.000	0.956	0.985	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.985	0.956	1.000	1.000	0.968	1.000	1.000	1.000	1.000	0.971	0.676	1.000	1.000	0.974	1.000	1.000	1.000
0.980	1.000	1.000	1.000	1.000	1.000	0.163	0.980	0	1.000	0.000	1.000	1.000	1.000	0.367	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.673	1.000	0.980	0.980	1.000	1.000	1.000	1.000	1.000	0.408	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.980	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.143	1.000	1.000	1.000	1.000	1.000	0.898	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000
0.872	0.692	1.000	1.000	1.000	0.974	1.000	1.000	1.000	0	1.000	0.821	0.973	0.974	0.974	1.000	0.949	1.000	0.846	0.949	0.923	0.949	1.000	0.949	0.974	0.974	0.974	0.974	0.949	1.000	0.795	0.974	0.974	1.000	0.846	0.974	0.974	0.974	1.000	0.744	1.000	1.000	0.923	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.615	1.000	1.000	1.000	1.000	1.000	0.974	0.769	1.000	0.923	1.000	1.000	1.000	0.949	0.795	0.974	1.000	1.000	1.000	0.923	0.000	0.974	1.000	0.949	1.000	0.974	1.000	1.000	0.974	0.974
