kegg	gene
dre00010	100000026
dre00010	100000750
dre00010	100005587
dre00010	114551
dre00010	116517
dre00010	192309
dre00010	246094
dre00010	246095
dre00010	282559
dre00010	282672
dre00010	30496
dre00010	30497
dre00010	317743
dre00010	321224
dre00010	321664
dre00010	323107
dre00010	323653
dre00010	324201
dre00010	327165
dre00010	334116
dre00010	334197
dre00010	335231
dre00010	335817
dre00010	336425
dre00010	368239
dre00010	369193
dre00010	378727
dre00010	378963
dre00010	393462
dre00010	393668
dre00010	394000
dre00010	394075
dre00010	399479
dre00010	399481
dre00010	402874
dre00010	405822
dre00010	406339
dre00010	406367
dre00010	406428
dre00010	406473
dre00010	406496
dre00010	406696
dre00010	406702
dre00010	406791
dre00010	436646
dre00010	436672
dre00010	436747
dre00010	436903
dre00010	436914
dre00010	445094
dre00010	445118
dre00010	445326
dre00010	445505
dre00010	447836
dre00010	447920
dre00010	492710
dre00010	541435
dre00010	550259
dre00010	557008
dre00010	557919
dre00010	560020
dre00010	560753
dre00010	560944
dre00010	561416
dre00010	561891
dre00010	563180
dre00010	566398
dre00010	568001
dre00010	570106
dre00010	572733
dre00010	751668
dre00010	751785
dre00010	790919
dre00010	792692
dre00010	799805
dre00020	100006589
dre00020	317746
dre00020	322339
dre00020	322670
dre00020	324201
dre00020	335715
dre00020	368262
dre00020	378727
dre00020	386951
dre00020	393884
dre00020	393926
dre00020	393938
dre00020	399479
dre00020	399662
dre00020	406299
dre00020	406405
dre00020	406428
dre00020	406473
dre00020	406702
dre00020	415247
dre00020	436672
dre00020	436762
dre00020	436850
dre00020	436922
dre00020	445129
dre00020	445500
dre00020	550579
dre00020	553283
dre00020	559207
dre00020	562149
dre00020	564552
dre00020	568448
dre00020	58068
dre00020	797715
dre00030	140620
dre00030	246094
dre00030	246095
dre00030	282672
dre00030	321664
dre00030	324556
dre00030	334897
dre00030	335231
dre00030	336425
dre00030	369193
dre00030	378713
dre00030	394000
dre00030	403070
dre00030	405822
dre00030	406496
dre00030	406762
dre00030	407673
dre00030	415207
dre00030	445494
dre00030	445505
dre00030	447836
