name	term	lev	seq	value
"cell surface"	GO:0009986	2	ENSDARG00000002731	0
"cell surface"	GO:0009986	2	ENSDARG00000013685	0
"cell surface"	GO:0009986	2	ENSDARG00000014015	1
"cell surface"	GO:0009986	2	ENSDARG00000017490	0
"cell surface"	GO:0009986	2	ENSDARG00000018423	0
"cell surface"	GO:0009986	2	ENSDARG00000020242	0
"cell surface"	GO:0009986	2	ENSDARG00000032631	0
"cell surface"	GO:0009986	2	ENSDARG00000037362	0
"cell surface"	GO:0009986	2	ENSDARG00000038428	0
"cell surface"	GO:0009986	2	ENSDARG00000038500	0
"cell surface"	GO:0009986	2	ENSDARG00000040640	1
"cell surface"	GO:0009986	2	ENSDARG00000043658	0
"cell surface"	GO:0009986	2	ENSDARG00000052680	1
"cell surface"	GO:0009986	2	ENSDARG00000058492	0
"cell surface"	GO:0009986	2	ENSDARG00000058794	0
"cell surface"	GO:0009986	2	ENSDARG00000059906	0
"cell surface"	GO:0009986	2	ENSDARG00000062376	0
"cell surface"	GO:0009986	2	ENSDARG00000071576	1
"cell surface"	GO:0009986	2	ENSDARG00000071651	1
"cell surface"	GO:0009986	2	ENSDARG00000071656	1
"cell surface"	GO:0009986	2	ENSDARG00000074085	0
"cell surface"	GO:0009986	2	ENSDARG00000077115	1
"cell surface"	GO:0009986	2	ENSDARG00000077329	1
"cell surface"	GO:0009986	2	ENSDARG00000077761	1
"cell surface"	GO:0009986	2	ENSDARG00000079336	1
"cell surface"	GO:0009986	2	ENSDARG00000079455	0
"cell surface"	GO:0009986	2	ENSDARG00000080675	0
"cell surface"	GO:0009986	2	ENSDARG00000093699	0
"cell surface"	GO:0009986	2	ENSDARG00000093852	1
"cell surface"	GO:0009986	2	ENSDARG00000095401	1
"cell surface"	GO:0009986	2	ENSDARG00000095940	1
"cell surface"	GO:0009986	2	ENSDARG00000095949	0
"cell surface"	GO:0009986	2	ENSDARG00000098949	0
"cell surface"	GO:0009986	2	ENSDARG00000099799	0
"cell surface"	GO:0009986	2	ENSDARG00000100223	0
"cell surface"	GO:0009986	2	ENSDARG00000100357	0
"cell surface"	GO:0009986	2	ENSDARG00000102234	1
"cell surface"	GO:0009986	2	ENSDARG00000102640	1
"cell surface"	GO:0009986	2	ENSDARG00000104786	0
"sarcoplasmic reticulum"	GO:0016529	2	ENSDARG00000006757	0
"sarcoplasmic reticulum"	GO:0016529	2	ENSDARG00000020072	0
"sarcoplasmic reticulum"	GO:0016529	2	ENSDARG00000020574	0
"sarcoplasmic reticulum"	GO:0016529	2	ENSDARG00000045676	0
"sarcoplasmic reticulum"	GO:0016529	2	ENSDARG00000077295	0
"chromosome"	GO:0005694	2	ENSDARG00000002479	1
"chromosome"	GO:0005694	2	ENSDARG00000006092	0
"chromosome"	GO:0005694	2	ENSDARG00000007734	0
"chromosome"	GO:0005694	2	ENSDARG00000011488	1
"chromosome"	GO:0005694	2	ENSDARG00000011594	0
"chromosome"	GO:0005694	2	ENSDARG00000012947	0
"chromosome"	GO:0005694	2	ENSDARG00000013224	0
"chromosome"	GO:0005694	2	ENSDARG00000014685	0
"chromosome"	GO:0005694	2	ENSDARG00000017744	0
"chromosome"	GO:0005694	2	ENSDARG00000019300	0
"chromosome"	GO:0005694	2	ENSDARG00000020504	0
"chromosome"	GO:0005694	2	ENSDARG00000021483	0
"chromosome"	GO:0005694	2	ENSDARG00000023002	0
"chromosome"	GO:0005694	2	ENSDARG00000024681	0
"chromosome"	GO:0005694	2	ENSDARG00000026634	0
