name	term	lev	seq	value
"microtubule associated complex"	GO:0005875	4	ENSDARG00000000606	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000001558	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000005462	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000006862	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000008022	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000010948	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000011611	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000012073	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000012485	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000014943	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000015010	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000015016	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000016594	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000019156	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000019743	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000024575	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000026595	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000031116	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000032013	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000033099	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000035924	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000036781	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000039697	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000039770	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000040110	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000043571	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000044491	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000054978	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000055238	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000055965	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000056753	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000058454	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000058968	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000059987	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000061131	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000061486	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000062024	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000062187	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000069594	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000069790	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000073859	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000074131	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000076228	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000077264	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000077384	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000079702	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000079731	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000080018	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000086985	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000087373	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000087538	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000087616	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000088841	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000094540	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000098317	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000099740	0
"microtubule associated complex"	GO:0005875	4	ENSDARG00000100115	0
