name	term	lev	seq	value
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000009262	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000018426	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000028259	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000029381	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000035606	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000036776	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000037935	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000039914	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000053485	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000053493	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000076544	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000076933	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000077004	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000089924	0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0016620	4	ENSDARG00000099579	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000000551	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000007371	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000011618	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000012002	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000020893	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000022424	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000026248	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000032465	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000043021	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000053853	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000055835	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000069431	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000069478	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000077691	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000097292	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000099186	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000102453	0
"dicarboxylic acid transmembrane transporter activity"	GO:0005310	6	ENSDARG00000104431	0
"single-stranded DNA binding"	GO:0003697	2	ENSDARG00000000476	0
"single-stranded DNA binding"	GO:0003697	2	ENSDARG00000003938	0
"single-stranded DNA binding"	GO:0003697	2	ENSDARG00000004692	0
"single-stranded DNA binding"	GO:0003697	2	ENSDARG00000007734	0
"single-stranded DNA binding"	GO:0003697	2	ENSDARG00000014161	0
"single-stranded DNA binding"	GO:0003697	2	ENSDARG00000017928	0
"single-stranded DNA binding"	GO:0003697	2	ENSDARG00000025948	0
"single-stranded DNA binding"	GO:0003697	2	ENSDARG00000026400	0
"single-stranded DNA binding"	GO:0003697	2	ENSDARG00000035954	0
"single-stranded DNA binding"	GO:0003697	2	ENSDARG00000039350	0
"single-stranded DNA binding"	GO:0003697	2	ENSDARG00000039754	0
