"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 6 7 "GO:0000018" "regulation of DNA recombination" 1
0 1.36369706360532e-06 6 12 "GO:0000027" "ribosomal large subunit assembly" 8.86252763360966e-05
0 7.175867202639e-06 4 9 "GO:0000028" "ribosomal small subunit assembly" 0.000403708973363283
0 0.192931743170192 2 32 "GO:0000041" "transition metal ion transport" 1
0 0.152931730040674 4 21 "GO:0000045" "autophagic vacuole assembly" 0.971314231780675
0 0.689471156719813 5 6 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 0.443459992104645 4 30 "GO:0000075;GO:0007093;GO:1901991;GO:1901988" "cell cycle checkpoint" 1
0 0.0853207643709092 2 14 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.691727603969708
0 0.267428806123943 2 15 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.427532961947635 6 8 "GO:0000082;GO:0044772;GO:0044843;GO:0044770" "cell cycle phase transition" 1
0 0.698709945957349 3 13 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.0217494260798157 3 7 "GO:0000103" "sulfate assimilation" 0.308760544067664
0 0.782035917284383 5 55 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 1
0 0.185430241175284 4 13 "GO:0000154" "rRNA modification" 1
0 0.689471156719813 2 6 "GO:0000165" "MAPK cascade" 1
0 0.605394671993231 3 11 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.216418496057596 3 5 "GO:0000186" "activation of MAPKK activity" 1
0 0.0122562986823728 2 51 "GO:0000209" "protein polyubiquitination" 0.202362148897003
0 0.45075706715325 2 69 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.0417246296258394 6 5 "GO:0000245" "spliceosomal complex assembly" 0.466027297070956
0 0.689471156719813 4 6 "GO:0000266" "mitochondrial fission" 1
0 0.00333350062087631 2 10 "GO:0000278" "mitotic cell cycle" 0.0816707652114696
0 0.689471156719813 2 6 "GO:0000281" "mitotic cytokinesis" 1
