"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.781932927224519 3 13 "GO:0000118" "histone deacetylase complex" 1
0 0.975998945138768 3 91 "GO:0000139" "Golgi membrane" 1
0 0.900434702024465 2 10 "GO:0000145" "exocyst" 1
0 0.383170613224118 2 85 "GO:0000151" "ubiquitin ligase complex" 0.949084134293585
0 0.513679270993686 2 8 "GO:0000159" "protein phosphatase type 2A complex" 1
0 0.0219315046717454 3 9 "GO:0000176;GO:0000178" "exosome (RNase complex)" 0.105402156780627
0 0.0366219629753005 3 7 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.157230294373957
0 0.841975860416526 3 8 "GO:0000220;GO:0033179" "proton-transporting V-type ATPase, V0 domain" 1
0 0.0623269007792942 3 5 "GO:0000228" "nuclear chromosome" 0.250865775636659
0 0.0623269007792942 5 5 "GO:0000243" "commitment complex" 0.250865775636659
0 0.061534149625665 3 8 "GO:0000276" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 0.250865775636659
0 0.841975860416526 2 8 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.641703533271334 2 10 "GO:0000421" "autophagic vacuole membrane" 1
0 0.274538620803044 3 5 "GO:0000439" "core TFIIH complex" 0.762574266948913
0 2.16752430387467e-10 2 29 "GO:0000502" "proteasome complex" 5.3687909680588e-09
0 0.782158535901457 3 19 "GO:0000775" "chromosome, centromeric region" 1
0 0.83805013465568 3 21 "GO:0000776" "kinetochore" 1
0 0.841975860416526 2 8 "GO:0000781" "chromosome, telomeric region" 1
0 0.0251797613780885 4 44 "GO:0000785" "chromatin" 0.119233575937419
0 1.49670085338021e-10 2 63 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 4.01614728990356e-09
0 0.358837704854529 3 6 "GO:0000788" "nuclear nucleosome" 0.902701101274675
0 0.0542773664198168 2 25 "GO:0000790" "nuclear chromatin" 0.229964631410276
0 0.274538620803044 3 5 "GO:0000808" "origin recognition complex" 0.762574266948913
0 1 2 14 "GO:0000922" "spindle pole" 1
0 0.684191257860386 4 5 "GO:0000930" "gamma-tubulin complex" 1
0 0.177557439503363 2 23 "GO:0000932" "cytoplasmic mRNA processing body" 0.608228675745563
0 0.0187133488585129 3 6 "GO:0000974;GO:0071012" "catalytic step 1 spliceosome" 0.0912984595824417
0 1 2 5 "GO:0002116" "semaphorin receptor complex" 1
0 0.999999945385484 1 222 "GO:0005576" "extracellular region" 1
0 0.999999983858594 2 77 "GO:0005578;GO:0031012" "extracellular matrix" 1
0 1 2 29 "GO:0005581" "collagen trimer" 1
0 0.999999616796065 2 224 "GO:0005615;GO:0044421" "extracellular region part" 1
0 1.47675485334256e-07 2 302 "GO:0005622" "intracellular" 2.37757531388152e-06
0 0.305373549301688 3 18 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.82630489811045
0 0.513679270993686 3 8 "GO:0005637" "nuclear inner membrane" 1
0 0.684191257860386 4 5 "GO:0005639;GO:0044453" "integral component of nuclear inner membrane" 1
0 0.65467867911671 3 21 "GO:0005643;GO:0046930" "pore complex" 1
0 0.484591853967143 3 22 "GO:0005654" "nucleoplasm" 1
0 0.749261968461558 2 6 "GO:0005657" "replication fork" 1
0 0.00730321908497785 2 10 "GO:0005665" "DNA-directed RNA polymerase II, core complex" 0.0412567814975942
0 0.030556150165526 4 16 "GO:0005666" "DNA-directed RNA polymerase III complex" 0.14055829076142
0 0.427988612514208 2 68 "GO:0005667" "transcription factor complex" 1
0 0.513679270993686 3 8 "GO:0005669" "transcription factor TFIID complex" 1
0 0.0081392582982236 2 13 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 0.0429646093775082
