"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 13 "GO:0000118" "histone deacetylase complex" 1
0 1 3 91 "GO:0000139" "Golgi membrane" 1
0 1 2 10 "GO:0000145" "exocyst" 1
0 1 2 85 "GO:0000151" "ubiquitin ligase complex" 1
0 1 4 8 "GO:0000159" "protein phosphatase type 2A complex" 1
0 1 3 9 "GO:0000176;GO:0000178" "exosome (RNase complex)" 1
0 1 2 7 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 1 4 8 "GO:0000220;GO:0033179" "proton-transporting V-type ATPase, V0 domain" 1
0 1 2 5 "GO:0000228" "nuclear chromosome" 1
0 1 5 5 "GO:0000243" "commitment complex" 1
0 1 2 8 "GO:0000276" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 1 2 8 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 1 3 10 "GO:0000421" "autophagic vacuole membrane" 1
0 1 2 5 "GO:0000439" "core TFIIH complex" 1
0 1 2 29 "GO:0000502" "proteasome complex" 1
0 1 2 19 "GO:0000775" "chromosome, centromeric region" 1
0 1 2 21 "GO:0000776" "kinetochore" 1
0 1 3 8 "GO:0000781" "chromosome, telomeric region" 1
0 1 3 44 "GO:0000785" "chromatin" 1
0 1 3 63 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 1
0 1 4 6 "GO:0000788" "nuclear nucleosome" 1
0 1 2 25 "GO:0000790" "nuclear chromatin" 1
0 1 2 5 "GO:0000808" "origin recognition complex" 1
0 1 3 14 "GO:0000922" "spindle pole" 1
0 1 4 5 "GO:0000930" "gamma-tubulin complex" 1
0 1 2 23 "GO:0000932" "cytoplasmic mRNA processing body" 1
0 1 2 6 "GO:0000974;GO:0071012" "catalytic step 1 spliceosome" 1
0 1 4 5 "GO:0002116" "semaphorin receptor complex" 1
0 1 1 222 "GO:0005576" "extracellular region" 1
0 1 2 77 "GO:0005578;GO:0031012" "extracellular matrix" 1
0 1 3 29 "GO:0005581" "collagen trimer" 1
0 1 2 224 "GO:0005615;GO:0044421" "extracellular region part" 1
0 1 2 302 "GO:0005622" "intracellular" 1
0 1 2 18 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 1 2 8 "GO:0005637" "nuclear inner membrane" 1
0 1 4 5 "GO:0005639;GO:0044453" "integral component of nuclear inner membrane" 1
0 1 3 21 "GO:0005643;GO:0046930" "pore complex" 1
0 1 3 22 "GO:0005654" "nucleoplasm" 1
0 1 2 6 "GO:0005657" "replication fork" 1
0 1 2 10 "GO:0005665" "DNA-directed RNA polymerase II, core complex" 1
0 1 2 16 "GO:0005666" "DNA-directed RNA polymerase III complex" 1
0 1 2 68 "GO:0005667" "transcription factor complex" 1
0 1 2 8 "GO:0005669" "transcription factor TFIID complex" 1
0 1 5 13 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 2 58 "GO:0005681" "spliceosomal complex" 1
0 1 2 9 "GO:0005682" "U5 snRNP" 1
0 1 4 19 "GO:0005684" "U2-type spliceosomal complex" 1
0 1 2 10 "GO:0005685" "U1 snRNP" 1
0 1 2 14 "GO:0005686" "U2 snRNP" 1
0 1 4 10 "GO:0005689" "U12-type spliceosomal complex" 1
