"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 13 "GO:0000118" "histone deacetylase complex" 1
0 0.351043800758604 3 91 "GO:0000139" "Golgi membrane" 1
0 0.48122799822711 3 10 "GO:0000145" "exocyst" 1
0 0.587841955832491 3 85 "GO:0000151" "ubiquitin ligase complex" 1
0 0.745194135394681 2 8 "GO:0000159" "protein phosphatase type 2A complex" 1
0 1 3 9 "GO:0000176;GO:0000178" "exosome (RNase complex)" 1
0 1 4 7 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 0.745194135394681 3 8 "GO:0000220;GO:0033179" "proton-transporting V-type ATPase, V0 domain" 1
0 1 4 5 "GO:0000228" "nuclear chromosome" 1
0 0.574361991549622 2 5 "GO:0000243" "commitment complex" 1
0 1 4 8 "GO:0000276" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 1 2 8 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.819054043158165 5 10 "GO:0000421" "autophagic vacuole membrane" 1
0 1 3 5 "GO:0000439" "core TFIIH complex" 1
0 1 2 29 "GO:0000502" "proteasome complex" 1
0 0.592299346217003 3 19 "GO:0000775" "chromosome, centromeric region" 1
0 0.424216235407578 3 21 "GO:0000776" "kinetochore" 1
0 0.0248321206846499 3 8 "GO:0000781" "chromosome, telomeric region" 0.363451948202603
0 0.842809120460539 3 44 "GO:0000785" "chromatin" 1
0 0.999980651973863 3 63 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 1
0 1 2 6 "GO:0000788" "nuclear nucleosome" 1
0 0.921487549050398 2 25 "GO:0000790" "nuclear chromatin" 1
0 0.574361991549622 3 5 "GO:0000808" "origin recognition complex" 1
0 0.670141021785339 3 14 "GO:0000922" "spindle pole" 1
0 0.574361991549622 2 5 "GO:0000930" "gamma-tubulin complex" 1
0 1 2 23 "GO:0000932" "cytoplasmic mRNA processing body" 1
0 1 3 6 "GO:0000974;GO:0071012" "catalytic step 1 spliceosome" 1
0 0.0300396006480794 4 5 "GO:0002116" "semaphorin receptor complex" 0.420554409073112
0 0.000200568269022506 1 222 "GO:0005576" "extracellular region" 0.0129165965250494
0 6.20414955355819e-06 2 77 "GO:0005578;GO:0031012" "extracellular matrix" 0.000998868078122869
0 0.00992915019587518 2 29 "GO:0005581" "collagen trimer" 0.199824147691988
0 3.2540802870168e-07 2 224 "GO:0005615;GO:0044421" "extracellular region part" 0.000104781385241941
0 0.966932791181635 2 302 "GO:0005622" "intracellular" 1
0 0.553687597132212 2 18 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 0.745194135394681 3 8 "GO:0005637" "nuclear inner membrane" 1
0 0.574361991549622 3 5 "GO:0005639;GO:0044453" "nuclear membrane part" 1
