"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 13 "GO:0000118" "histone deacetylase complex" 1
0 0.301647072132388 3 91 "GO:0000139" "Golgi membrane" 1
0 1 2 10 "GO:0000145" "exocyst" 1
0 0.447343158599136 2 85 "GO:0000151" "ubiquitin ligase complex" 1
0 1 2 8 "GO:0000159" "protein phosphatase type 2A complex" 1
0 0.308761502661872 2 9 "GO:0000176;GO:0000178" "exosome (RNase complex)" 1
0 0.249588246699755 2 7 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 1 2 8 "GO:0000220;GO:0033179" "proton-transporting V-type ATPase, V0 domain" 1
0 1 3 5 "GO:0000228" "nuclear chromosome" 1
0 1 3 5 "GO:0000243" "commitment complex" 1
0 1 4 8 "GO:0000276" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 0.0382574584313975 2 8 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.0583443990484543 2 10 "GO:0000421" "autophagic vacuole membrane" 1
0 1 2 5 "GO:0000439" "core TFIIH complex" 1
0 0.325899447590547 2 29 "GO:0000502" "proteasome complex" 1
0 0.175908465800836 3 19 "GO:0000775" "chromosome, centromeric region" 1
0 0.578114587857455 3 21 "GO:0000776" "kinetochore" 1
0 0.27977835930952 3 8 "GO:0000781" "chromosome, telomeric region" 1
0 0.533301047773314 3 44 "GO:0000785" "chromatin" 1
0 0.727621933363857 3 63 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 1
0 1 4 6 "GO:0000788" "nuclear nucleosome" 1
0 0.265622081156043 2 25 "GO:0000790" "nuclear chromatin" 1
0 1 3 5 "GO:0000808" "origin recognition complex" 1
0 1 2 14 "GO:0000922" "spindle pole" 1
0 1 4 5 "GO:0000930" "gamma-tubulin complex" 1
0 0.611502505005297 2 23 "GO:0000932" "cytoplasmic mRNA processing body" 1
0 1 2 6 "GO:0000974;GO:0071012" "catalytic step 1 spliceosome" 1
0 1 4 5 "GO:0002116" "semaphorin receptor complex" 1
0 0.79906238905523 1 222 "GO:0005576" "extracellular region" 1
