"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 6 25 "GO:0000009;GO:0000026;GO:0000033;GO:0001962;GO:0003980;GO:0004376;GO:0004576;GO:0004583;GO:0008755;GO:0008921;GO:0035250;GO:0016759;GO:0018715;GO:0018716;GO:0019112;GO:0018717;GO:0018718;GO:0019187;GO:0031278;GO:0033556;GO:0035496;GO:0042281;GO:0042283;GO:0045140;GO:0046920;GO:0046921;GO:0052638;GO:0052639;GO:0052640;GO:0052641;GO:0052757;GO:0033931;GO:0052824;GO:0080062" "oligosaccharyl transferase activity" 1
0 1 2 28 "GO:0000030" "mannosyltransferase activity" 1
0 1 3 13 "GO:0000049" "tRNA binding" 1
0 1 2 16 "GO:0000062" "fatty-acyl-CoA binding" 1
0 1 3 45 "GO:0000149" "SNARE binding" 1
0 1 6 8 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 1
0 1 7 47 "GO:0000179;GO:0016433;GO:0008649;GO:0003880;GO:0051998;GO:0010340;GO:0004809;GO:0016423;GO:0008169;GO:0008172;GO:0008174;GO:0008425;GO:0030580;GO:0008650;GO:0016436;GO:0008988;GO:0009008;GO:0009019;GO:0009383;GO:0016434;GO:0016205;GO:0051995;GO:0016273;GO:0016274;GO:0016300;GO:0016426;GO:0016427;GO:0016428;GO:0016429;GO:0016435;GO:0018423;GO:0018707;GO:0019702;GO:0030792;GO:0034541;GO:0034807;GO:0034931;GO:0034933;GO:0043770;GO:0043776;GO:0043777;GO:0043780;GO:0043782;GO:0043791;GO:0043803;GO:0043827;GO:0043833;GO:0043834;GO:0043851;GO:0043852;GO:0051994;GO:0052624;GO:0052665;GO:0052666;GO:0052667;GO:0052735;GO:0070677;GO:0071424;GO:0080012" "protein carboxyl O-methyltransferase activity" 1
0 1 2 7 "GO:0000217" "DNA secondary structure binding" 1
0 1 4 64 "GO:0000287" "magnesium ion binding" 1
0 1 2 5 "GO:0000400" "four-way junction DNA binding" 1
0 1 5 5 "GO:0000907;GO:0018602;GO:0034792;GO:0043734;GO:0052634;GO:0045543;GO:0052635" "DNA-N1-methyladenine dioxygenase activity" 1
0 1 4 122 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 1
0 1 2 75 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region sequence-specific DNA binding" 1
0 1 2 127 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 1
0 1 2 20 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 1
0 1 2 105 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 1
0 1 4 8 "GO:0000993;GO:0001099;GO:0043175;GO:0001098;GO:0070063" "RNA polymerase core enzyme binding" 1
0 1 7 7 "GO:0001054" "RNA polymerase I activity" 1
0 1 2 6 "GO:0001055" "RNA polymerase II activity" 1
0 1 2 16 "GO:0001056" "RNA polymerase III activity" 1
0 1 3 30 "GO:0001076;GO:0001104" "RNA polymerase II transcription factor binding transcription factor activity" 1
0 1 3 5 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 1
0 1 2 8 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 1
0 1 2 7 "GO:0001085" "RNA polymerase II transcription factor binding" 1
0 1 2 6 "GO:0001105;GO:0001190" "RNA polymerase II transcription coactivator activity" 1
0 1 7 5 "GO:0001158;GO:0035326" "enhancer binding" 1
0 1 2 5 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 1
0 1 2 11 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 1
0 1 2 16 "GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 1
0 1 5 28 "GO:0001517;GO:0001537;GO:0004394;GO:0034483;GO:0016232;GO:0017095;GO:0018721;GO:0018722;GO:0019111;GO:0018723;GO:0018724;GO:0018725;GO:0018726;GO:0018727;GO:0034930;GO:0050694;GO:0050698;GO:0051922;GO:0004027;GO:0080131" "heparan sulfate sulfotransferase activity" 1
0 1 2 5 "GO:0001540" "beta-amyloid binding" 1
0 1 4 5 "GO:0001609" "G-protein coupled adenosine receptor activity" 1
0 1 4 8 "GO:0001614;GO:0016502" "nucleotide receptor activity" 1
0 1 2 42 "GO:0001664" "G-protein coupled receptor binding" 1
0 1 2 7 "GO:0002039" "p53 binding" 1
0 1 4 18 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 1 5 25 "GO:0003678" "DNA helicase activity" 1
0 1 2 67 "GO:0003682" "chromatin binding" 1
0 1 2 22 "GO:0003684" "damaged DNA binding" 1
0 1 2 6 "GO:0003689;GO:0033170" "DNA clamp loader activity" 1
0 1 2 22 "GO:0003690" "double-stranded DNA binding" 1
0 1 2 23 "GO:0003697" "single-stranded DNA binding" 1
0 1 2 342 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 1
0 1 2 41 "GO:0003707" "steroid hormone receptor activity" 1
0 1 4 5 "GO:0003708" "retinoic acid receptor activity" 1
0 1 4 44 "GO:0003713" "transcription coactivator activity" 1
0 1 2 24 "GO:0003714" "transcription corepressor activity" 1
0 1 2 356 "GO:0003723" "RNA binding" 1
0 1 3 10 "GO:0003725" "double-stranded RNA binding" 1
0 1 2 41 "GO:0003729" "mRNA binding" 1
0 1 2 7 "GO:0003730" "mRNA 3'-UTR binding" 1
0 1 2 142 "GO:0003735" "structural constituent of ribosome" 1
0 1 4 31 "GO:0003743" "translation initiation factor activity" 1
0 1 4 14 "GO:0003746" "translation elongation factor activity" 1
0 1 4 29 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 1 5 10 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 1 4 69 "GO:0003774" "motor activity" 1
0 1 2 38 "GO:0003777" "microtubule motor activity" 1
0 0.105076297399527 4 116 "GO:0003779" "actin binding" 1
0 1 2 6 "GO:0003785" "actin monomer binding" 1
0 1 2 5 "GO:0003836" "beta-galactoside (CMP) alpha-2,3-sialyltransferase activity" 1
0 1 2 5 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 1 4 5 "GO:0003873" "6-phosphofructo-2-kinase activity" 1
0 1 2 16 "GO:0003887;GO:0034061" "DNA polymerase activity" 1
0 1 6 27 "GO:0003899;GO:0034062" "DNA-directed RNA polymerase activity" 1
0 1 5 8 "GO:0003906" "DNA-(apurinic or apyrimidinic site) lyase activity" 1
0 1 2 5 "GO:0003923" "GPI-anchor transamidase activity" 1
0 1 2 75 "GO:0003924" "GTPase activity" 1
0 1 2 8 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 1 4 16 "GO:0003954;GO:0008137;GO:0050136;GO:0016655" "NADH dehydrogenase activity" 1
0 1 3 5 "GO:0003993" "acid phosphatase activity" 1
0 1 4 12 "GO:0003995;GO:0052890" "acyl-CoA dehydrogenase activity" 1
0 1 3 9 "GO:0004000" "adenosine deaminase activity" 1
0 1 2 15 "GO:0004003" "ATP-dependent DNA helicase activity" 1
