"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
710 0.0524637412162772 6 25 "GO:0000009;GO:0000026;GO:0000033;GO:0001962;GO:0003980;GO:0004376;GO:0004576;GO:0004583;GO:0008755;GO:0008921;GO:0035250;GO:0016759;GO:0018715;GO:0018716;GO:0019112;GO:0018717;GO:0018718;GO:0019187;GO:0031278;GO:0033556;GO:0035496;GO:0042281;GO:0042283;GO:0045140;GO:0046920;GO:0046921;GO:0052638;GO:0052639;GO:0052640;GO:0052641;GO:0052757;GO:0033931;GO:0052824;GO:0080062" "dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity" 0.315371232566579
387 0.263107847279221 2 28 "GO:0000030" "mannosyltransferase activity" 0.599705174541597
-525 0.301208575477109 5 13 "GO:0000049" "tRNA binding" 0.634783635692171
662 0.147952565974014 4 16 "GO:0000062" "fatty-acyl-CoA binding" 0.453670878318278
48 0.860801686881737 3 45 "GO:0000149" "SNARE binding" 0.950995981279272
1056 0.102422855000808 3 8 "GO:0000175;GO:0016896;GO:0004532" "3'-5'-exoribonuclease activity" 0.413128428560306
-150 0.573831339264437 6 47 "GO:0000179;GO:0016433;GO:0008649;GO:0003880;GO:0051998;GO:0010340;GO:0004809;GO:0016423;GO:0008169;GO:0008172;GO:0008174;GO:0008425;GO:0030580;GO:0008650;GO:0016436;GO:0008988;GO:0009008;GO:0009019;GO:0009383;GO:0016434;GO:0016205;GO:0051995;GO:0016273;GO:0016274;GO:0016300;GO:0016426;GO:0016427;GO:0016428;GO:0016429;GO:0016435;GO:0018423;GO:0018707;GO:0019702;GO:0030792;GO:0034541;GO:0034807;GO:0034931;GO:0034933;GO:0043770;GO:0043776;GO:0043777;GO:0043780;GO:0043782;GO:0043791;GO:0043803;GO:0043827;GO:0043833;GO:0043834;GO:0043851;GO:0043852;GO:0051994;GO:0052624;GO:0052665;GO:0052666;GO:0052667;GO:0052735;GO:0070677;GO:0071424;GO:0080012" "carboxyl-O-methyltransferase activity" 0.849439987433317
-367 0.595413707104563 6 7 "GO:0000217" "DNA secondary structure binding" 0.867457326003018
236 0.304122713390845 5 64 "GO:0000287" "magnesium ion binding" 0.634783635692171
-115 0.888245841022629 2 5 "GO:0000400" "four-way junction DNA binding" 0.960867989653889
104 0.898505924961991 6 5 "GO:0000907;GO:0018602;GO:0034792;GO:0043734;GO:0052634;GO:0045543;GO:0052635" "C-20 gibberellin 2-beta-dioxygenase activity" 0.961231066536864
-619 0.000213296653183358 3 122 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.018313041223314
-608 0.00420773825100596 3 75 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.0815758286727284
-576 0.000441582950879816 3 127 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.0207814167118615
-170 0.678122475265282 2 20 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.901371791384338
-205 0.253181939756671 2 105 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.592071384411515
-88 0.891517771098531 4 8 "GO:0000993;GO:0001099;GO:0043175;GO:0001098;GO:0070063" "RNA polymerase core enzyme binding" 0.960867989653889
-609 0.378125022019778 5 7 "GO:0001054" "RNA polymerase I activity" 0.712392282864848
679 0.362826977176656 2 6 "GO:0001055" "RNA polymerase II activity" 0.701154383547171
552 0.227342963847933 2 16 "GO:0001056" "RNA polymerase III activity" 0.562276219228839
-129 0.698900590324628 3 30 "GO:0001076;GO:0001104" "RNA polymerase II transcription factor binding transcription factor activity" 0.901371791384338
