gene,inMod
ENSDARG00000104632,0
ENSDARG00000100422,0
ENSDARG00000102128,0
ENSDARG00000103095,0
ENSDARG00000102226,0
ENSDARG00000104049,0
ENSDARG00000102474,0
ENSDARG00000045911,0
ENSDARG00000045910,0
ENSDARG00000045909,0
ENSDARG00000025073,0
ENSDARG00000093924,0
ENSDARG00000099652,0
ENSDARG00000101047,0
ENSDARG00000099833,0
ENSDARG00000103870,0
ENSDARG00000096118,0
ENSDARG00000045900,0
ENSDARG00000016968,0
ENSDARG00000102878,0
ENSDARG00000059311,0
ENSDARG00000017386,0
ENSDARG00000045898,0
ENSDARG00000006060,0
ENSDARG00000104018,0
ENSDARG00000102340,0
ENSDARG00000099129,0
ENSDARG00000101813,0
ENSDARG00000063672,0
ENSDARG00000018149,0
ENSDARG00000045886,0
ENSDARG00000045885,0
ENSDARG00000007413,0
ENSDARG00000097341,0
ENSDARG00000045880,0
ENSDARG00000009657,0
ENSDARG00000093658,0
ENSDARG00000026839,0
ENSDARG00000016979,0
ENSDARG00000070477,0
ENSDARG00000045878,0
ENSDARG00000045877,0
ENSDARG00000079391,0
ENSDARG00000015921,0
ENSDARG00000061544,0
ENSDARG00000020812,0
ENSDARG00000009262,0
ENSDARG00000018618,0
ENSDARG00000045874,0
ENSDARG00000057468,0
ENSDARG00000079143,0
ENSDARG00000057714,0
ENSDARG00000045224,0
ENSDARG00000011246,0
ENSDARG00000053709,0
ENSDARG00000039724,0
ENSDARG00000070441,0
ENSDARG00000011961,0
ENSDARG00000008986,0
ENSDARG00000008235,0
ENSDARG00000006567,0
ENSDARG00000016231,0
ENSDARG00000016749,0
ENSDARG00000004227,0
ENSDARG00000006038,0
ENSDARG00000045870,0
ENSDARG00000017757,0
ENSDARG00000030598,0
ENSDARG00000097907,0
ENSDARG00000089860,0
ENSDARG00000097073,0
ENSDARG00000039843,0
ENSDARG00000077654,0
ENSDARG00000070414,0
ENSDARG00000033296,0
ENSDARG00000006283,0
ENSDARG00000016691,0
ENSDARG00000101363,0
ENSDARG00000095042,0
ENSDARG00000059043,0
ENSDARG00000075281,0
ENSDARG00000023766,0
ENSDARG00000039356,0
ENSDARG00000059064,0
ENSDARG00000090401,0
ENSDARG00000063578,0
ENSDARG00000063563,0
ENSDARG00000039350,0
ENSDARG00000069607,0
ENSDARG00000059053,0
ENSDARG00000092677,0
ENSDARG00000020871,0
ENSDARG00000039346,0
ENSDARG00000097044,0
ENSDARG00000059003,0
ENSDARG00000039343,0
ENSDARG00000039340,0
ENSDARG00000070408,0
ENSDARG00000045858,0
ENSDARG00000045853,0
ENSDARG00000095324,0
ENSDARG00000030694,0
ENSDARG00000096037,0
ENSDARG00000045850,0
ENSDARG00000063481,0
ENSDARG00000045847,0
ENSDARG00000045846,0
ENSDARG00000045843,0
ENSDARG00000031956,0
ENSDARG00000070220,0
ENSDARG00000009607,0
ENSDARG00000024654,0
ENSDARG00000040610,0
ENSDARG00000003200,0
ENSDARG00000091640,0
ENSDARG00000073858,0
ENSDARG00000099560,0
ENSDARG00000099280,0
ENSDARG00000101680,0
ENSDARG00000098745,0
ENSDARG00000074223,0
ENSDARG00000091974,0
ENSDARG00000005453,0
ENSDARG00000099281,0
ENSDARG00000068705,0
ENSDARG00000068708,0
ENSDARG00000024874,0
ENSDARG00000102702,0
ENSDARG00000070314,0
ENSDARG00000018688,0
ENSDARG00000079470,0
ENSDARG00000086740,0
ENSDARG00000027799,0
ENSDARG00000045815,0
ENSDARG00000078073,0
ENSDARG00000075025,0
ENSDARG00000026052,0
ENSDARG00000002663,0
ENSDARG00000039392,0
ENSDARG00000076014,0
ENSDARG00000102464,0
ENSDARG00000101849,0
ENSDARG00000093557,0
ENSDARG00000103537,0
ENSDARG00000102020,0
ENSDARG00000063097,0
ENSDARG00000039681,0
ENSDARG00000070230,0
ENSDARG00000077926,0
ENSDARG00000073881,0
ENSDARG00000034375,0
ENSDARG00000039185,0
ENSDARG00000058127,0
ENSDARG00000045788,0
ENSDARG00000045789,0
ENSDARG00000045790,0
ENSDARG00000058159,0
ENSDARG00000063149,0
ENSDARG00000025859,0
ENSDARG00000091656,0
ENSDARG00000058030,0
ENSDARG00000045704,0
ENSDARG00000025824,0
ENSDARG00000004386,0
ENSDARG00000045706,0
ENSDARG00000094732,0
ENSDARG00000057983,0
ENSDARG00000063008,0
ENSDARG00000057974,0
ENSDARG00000003570,0
ENSDARG00000062983,0
ENSDARG00000045708,0
ENSDARG00000062968,0
ENSDARG00000057929,0
ENSDARG00000018820,0
ENSDARG00000034326,0
ENSDARG00000094973,0
ENSDARG00000045748,0
ENSDARG00000097175,0
ENSDARG00000093014,0
ENSDARG00000045749,0
ENSDARG00000045753,0
ENSDARG00000045754,0
ENSDARG00000045755,0
ENSDARG00000096083,0
ENSDARG00000045758,0
ENSDARG00000001781,0
ENSDARG00000019235,0
ENSDARG00000063299,0
ENSDARG00000003822,0
ENSDARG00000005451,0
ENSDARG00000079698,0
ENSDARG00000045765,0
ENSDARG00000032765,0
ENSDARG00000025576,0
ENSDARG00000096099,0
ENSDARG00000005891,0
ENSDARG00000063255,0
ENSDARG00000045768,0
ENSDARG00000032242,0
ENSDARG00000058366,0
ENSDARG00000017661,0
ENSDARG00000020015,0
ENSDARG00000006747,0
ENSDARG00000007639,0
ENSDARG00000041665,0
ENSDARG00000087319,0
ENSDARG00000058244,0
ENSDARG00000019396,0
ENSDARG00000013476,0
ENSDARG00000008720,0
ENSDARG00000032618,0
ENSDARG00000022165,0
ENSDARG00000005897,0
ENSDARG00000053127,0
ENSDARG00000053131,0
ENSDARG00000053136,0
ENSDARG00000069912,0
ENSDARG00000045658,0
ENSDARG00000015824,0
ENSDARG00000005541,0
ENSDARG00000014361,0
ENSDARG00000094001,0
ENSDARG00000097457,0
ENSDARG00000096135,0
ENSDARG00000015053,0
ENSDARG00000017841,0
ENSDARG00000045669,0
ENSDARG00000094646,0
ENSDARG00000045675,0
ENSDARG00000045676,0
ENSDARG00000045680,0
ENSDARG00000045681,0
ENSDARG00000078745,0
ENSDARG00000006396,0
ENSDARG00000045687,0
ENSDARG00000022550,0
ENSDARG00000045692,0
ENSDARG00000045694,0
ENSDARG00000086259,0
ENSDARG00000090957,0
ENSDARG00000096149,0
ENSDARG00000069780,0
ENSDARG00000011661,0
ENSDARG00000062797,0
ENSDARG00000020086,0
ENSDARG00000096496,0
ENSDARG00000092161,0
ENSDARG00000003811,1
ENSDARG00000094799,0
ENSDARG00000015985,0
ENSDARG00000057334,0
ENSDARG00000045595,0
ENSDARG00000006215,0
ENSDARG00000045598,0
ENSDARG00000017366,0
ENSDARG00000020101,0
ENSDARG00000022424,0
ENSDARG00000004497,0
ENSDARG00000002952,0
ENSDARG00000045601,0
ENSDARG00000007764,0
ENSDARG00000062651,0
ENSDARG00000000019,0
ENSDARG00000000018,0
ENSDARG00000092341,0
ENSDARG00000019328,0
ENSDARG00000032919,0
ENSDARG00000004336,0
ENSDARG00000069698,0
ENSDARG00000069692,0
ENSDARG00000034823,0
ENSDARG00000095323,0
ENSDARG00000012684,0
ENSDARG00000056954,0
ENSDARG00000056950,0
ENSDARG00000088002,0
ENSDARG00000027249,0
ENSDARG00000020749,0
ENSDARG00000032653,0
ENSDARG00000003789,0
ENSDARG00000023026,0
ENSDARG00000027316,0
ENSDARG00000004904,0
ENSDARG00000019644,0
ENSDARG00000007315,0
ENSDARG00000007405,0
ENSDARG00000019420,0
ENSDARG00000011582,0
ENSDARG00000094191,0
ENSDARG00000020143,0
ENSDARG00000038386,0
ENSDARG00000007175,0
ENSDARG00000002174,0
ENSDARG00000079985,0
ENSDARG00000006011,0
ENSDARG00000002128,0
ENSDARG00000045563,0
ENSDARG00000045561,0
ENSDARG00000030153,0
ENSDARG00000014572,0
ENSDARG00000045560,0
ENSDARG00000097601,0
ENSDARG00000076690,0
ENSDARG00000021239,0
ENSDARG00000003512,0
ENSDARG00000004055,0
ENSDARG00000015278,0
ENSDARG00000097434,0
ENSDARG00000045557,0
ENSDARG00000033757,0
ENSDARG00000045555,0
ENSDARG00000073965,0
ENSDARG00000045552,0
ENSDARG00000005547,0
ENSDARG00000029018,0
ENSDARG00000095705,0
ENSDARG00000022858,0
ENSDARG00000008439,0
ENSDARG00000034717,0
ENSDARG00000069431,0
ENSDARG00000007371,0
ENSDARG00000015222,0
ENSDARG00000016613,0
ENSDARG00000008867,0
ENSDARG00000029524,0
ENSDARG00000006766,0
ENSDARG00000045544,0
ENSDARG00000014804,0
ENSDARG00000045543,0
ENSDARG00000045541,0
ENSDARG00000011605,0
ENSDARG00000045540,0
ENSDARG00000056152,0
ENSDARG00000056145,0
ENSDARG00000101236,0
ENSDARG00000037960,0
ENSDARG00000004794,0
ENSDARG00000045481,0
ENSDARG00000045482,0
ENSDARG00000103810,0
ENSDARG00000026855,0
ENSDARG00000045484,0
ENSDARG00000009252,0
ENSDARG00000011764,0
ENSDARG00000045485,0
ENSDARG00000005476,0
ENSDARG00000030614,0
ENSDARG00000045486,0
ENSDARG00000010784,0
ENSDARG00000045487,0
ENSDARG00000092717,0
ENSDARG00000007277,0
ENSDARG00000032218,0
ENSDARG00000013000,0
ENSDARG00000055360,0
ENSDARG00000012729,0
ENSDARG00000061951,0
ENSDARG00000010454,0
ENSDARG00000021579,0
ENSDARG00000007523,0
ENSDARG00000045490,0
ENSDARG00000018111,0
ENSDARG00000032639,0
ENSDARG00000021647,0
ENSDARG00000016010,0
ENSDARG00000021590,0
ENSDARG00000045493,0
ENSDARG00000094023,0
ENSDARG00000033443,0
ENSDARG00000076044,0
ENSDARG00000062013,0
ENSDARG00000011769,0
ENSDARG00000022187,0
ENSDARG00000002131,0
ENSDARG00000016526,0
ENSDARG00000045513,0
ENSDARG00000045514,0
ENSDARG00000045515,0
ENSDARG00000045516,0
ENSDARG00000045517,1
ENSDARG00000045518,0
ENSDARG00000045519,0
ENSDARG00000001953,0
ENSDARG00000031346,0
ENSDARG00000045522,0
ENSDARG00000045524,0
ENSDARG00000045525,0
ENSDARG00000045527,0
ENSDARG00000045528,0
ENSDARG00000075215,0
