delta.rank	pval	level	nseqs	term	name	p.adj
0	9.67486930352126e-4	3	9	GO:0001707	mesoderm formation	0.0699815546288038
0	9.42681970390775e-4	2	156	GO:0003002	regionalization	0.0699815546288038
0	2.66413553631251e-5	2	434	GO:0006351;GO:0032774	RNA biosynthetic process	0.00578117411379815
0	1.8177326451596e-5	4	249	GO:0006357	regulation of transcription from RNA polymerase II promoter	0.00534990903264601
0	0.00149808288139652	6	478	GO:0006468;GO:0016310	phosphorylation	0.0989386042104919
0	4.92335105720997e-4	2	575	GO:0006996	organelle organization	0.0415476125327886
0	0.00146129346110948	4	83	GO:0009952	anterior/posterior pattern specification	0.0989386042104919
0	1.61075950999078e-5	4	767	GO:0016070	RNA metabolic process	0.00534990903264601
0	1.31428104939253e-4	2	167	GO:0016567;GO:0032446	protein modification by small protein conjugation	0.0166366076168938
0	3.80082491621748e-8	4	118	GO:0016568	chromatin modification	2.88672652386718e-5
0	5.64628684216163e-5	3	65	GO:0016570;GO:0016569	covalent chromatin modification	0.0107208871415544
0	4.85231799907376e-4	4	46	GO:0016579;GO:0070646	protein modification by small protein removal	0.0415476125327886
0	4.69327491030058e-4	5	8	GO:0035329	hippo signaling	0.0415476125327886
0	4.64795230116942e-4	6	20	GO:0035567	non-canonical Wnt signaling pathway	0.0415476125327886
0	2.0151531389047e-4	3	14	GO:0036342	post-anal tail morphogenesis	0.0235462893692018
0	9.64331743563888e-5	5	56	GO:0042074	cell migration involved in gastrulation	0.0146481991847355
0	7.13716959659653e-4	5	42	GO:0045995	regulation of embryonic development	0.0570597927222638
0	7.07999395724039e-5	2	9	GO:0048332	mesoderm morphogenesis	0.0119494564678313
0	8.9686360256201e-9	2	207	GO:0051276;GO:0006325	chromosome organization	1.36233581229169e-5
0	1.10437945278467e-4	2	13	GO:0060030	dorsal convergence	0.0152504762616356
0	4.78870193879697e-7	2	213	GO:0070647	protein modification by small protein conjugation or removal	2.42467941501087e-4
0	2.11319645792469e-5	5	26	GO:2000027	regulation of organ morphogenesis	0.00534990903264601
0	4.69327491030058e-4	3	8	GO:2000223	regulation of BMP signaling pathway involved in heart jogging	0.0415476125327886
