delta.rank	pval	level	nseqs	term	name	p.adj
0	1.8419036431371e-4	3	249	GO:0006357	regulation of transcription from RNA polymerase II promoter	0.0717863832801343
0	3.78071801343696e-4	2	345	GO:0006928	cellular component movement	0.0717863832801343
0	9.63940261346975e-4	3	620	GO:0007166	cell surface receptor signaling pathway	0.0976150171324037
0	6.64067331198363e-4	2	158	GO:0007167	enzyme linked receptor protein signaling pathway	0.0917016614627558
0	3.14502156246324e-4	5	11	GO:0008286	insulin receptor signaling pathway	0.0717863832801343
0	3.71683640146257e-4	2	612	GO:0009653	anatomical structure morphogenesis	0.0717863832801343
0	2.3834981324769e-5	2	116	GO:0009887	organ morphogenesis	0.0362053366323241
0	2.47436512578797e-4	4	65	GO:0016570;GO:0016569	covalent chromatin modification	0.0717863832801343
0	8.87357518658473e-4	6	77	GO:0046578;GO:0051056	regulation of small GTPase mediated signal transduction	0.0962782907744443
0	7.9420674047657e-4	4	61	GO:0048562	embryonic organ morphogenesis	0.0962782907744443
0	8.55286558243055e-4	3	301	GO:0048598	embryonic morphogenesis	0.0962782907744443
0	1.65419853745179e-4	2	17	GO:0071375;GO:0043434;GO:1901653;GO:0032869;GO:0032868	cellular response to peptide hormone stimulus	0.0717863832801343
0	4.88425025692615e-4	4	21	GO:1901652	response to peptide	0.0824352904474536
0	2.81002791077605e-4	2	40	GO:1901699;GO:0071417;GO:1901701	cellular response to oxygen-containing compound	0.0717863832801343
0	6.57382868603645e-4	2	337	GO:1902589	single-organism organelle organization	0.0917016614627558
