delta.rank	pval	level	nseqs	term	name	p.adj
0	2.16752430387467e-10	2	29	GO:0000502	proteasome complex	5.3687909680588e-9
0	1.49670085338021e-10	2	63	GO:0000786;GO:0044815;GO:1990104	DNA packaging complex	4.01614728990356e-9
0	0.0187133488585129	3	6	GO:0000974;GO:0071012	catalytic step 1 spliceosome	0.0912984595824417
0	1.47675485334256e-7	2	302	GO:0005622	intracellular	2.37757531388152e-6
0	0.00730321908497785	2	10	GO:0005665	DNA-directed RNA polymerase II, core complex	0.0412567814975942
0	0.0081392582982236	2	13	GO:0005680;GO:0000152	nuclear ubiquitin ligase complex	0.0429646093775082
0	9.97594277818133e-14	3	58	GO:0005681	spliceosomal complex	3.21225357457439e-12
0	0.00353239364748879	2	9	GO:0005682	U5 snRNP	0.0218736683556037
0	3.87491321030377e-4	2	19	GO:0005684	U2-type spliceosomal complex	0.00290167919469259
0	5.20673809951134e-6	2	10	GO:0005685	U1 snRNP	5.78127471738845e-5
0	5.19433930413938e-6	2	14	GO:0005686	U2 snRNP	5.78127471738845e-5
0	0.0010185100224961	4	10	GO:0005689	U12-type spliceosomal complex	0.00697787717539881
0	9.94211989875281e-9	2	98	GO:0005694	chromosome	2.000851629624e-7
0	5.63728302595844e-10	3	68	GO:0005730	nucleolus	1.21013675623908e-8
0	2.83246315637327e-4	2	11	GO:0005732	small nucleolar ribonucleoprotein complex	0.00217155508655284
0	1.52921148414982e-5	2	7	GO:0005736	DNA-directed RNA polymerase I complex	1.53876905592576e-4
0	8.60626253596004e-4	2	275	GO:0005739	mitochondrion	0.00602438377517203
0	0.00142515543851377	3	8	GO:0005742	mitochondrial outer membrane translocase complex	0.00956041773336321
0	0.00168912158441944	2	91	GO:0005743;GO:0019866	organelle inner membrane	0.0108779430036612
0	0.00178302110797469	4	16	GO:0005762;GO:0000315	mitochondrial large ribosomal subunit	0.0112575058189775
0	2.03215005373285e-4	2	13	GO:0005763;GO:0000314	mitochondrial small ribosomal subunit	0.00165970447061175
0	3.23703331248755e-7	2	14	GO:0005839	proteasome core complex	4.96345107914758e-6
0	1.83525823012329e-43	2	122	GO:0005840	ribosome	2.9547657504985e-41
0	0.00744939910648575	4	5	GO:0008180	COP9 signalosome	0.0413570088325588
0	4.5892077554348e-20	2	49	GO:0015934	large ribosomal subunit	2.11103556750001e-18
0	2.19619280351308e-16	4	39	GO:0015935	small ribosomal subunit	7.85748980812457e-15
0	4.3163861429216e-4	2	7	GO:0016272	prefoldin complex	0.00315880985913808
0	6.99351687737326e-5	2	30	GO:0016604	nuclear body	6.25531231809497e-4
0	2.88715370045959e-5	6	18	GO:0016607	nuclear speck	2.65618140442282e-4
0	2.4541816179311e-6	1	20	GO:0019012;GO:0019013;GO:0044423	virion	2.92683881842153e-5
0	1.00466339551626e-4	2	8	GO:0019773	proteasome core complex, alpha-subunit complex	8.74328684746583e-4
0	2.44472986922026e-18	2	31	GO:0022625	cytosolic large ribosomal subunit	9.84003772361155e-17
0	1.11466139938771e-13	2	24	GO:0022627	cytosolic small ribosomal subunit	3.2629179145713e-12
0	9.06253718042926e-59	2	303	GO:0030529	ribonucleoprotein complex	2.91813697209822e-56
0	2.86569542667448e-10	3	36	GO:0030532	small nuclear ribonucleoprotein complex	6.5910994813513e-9
0	7.57582191023327e-4	3	29	GO:0030684	preribosome	0.00542092145576692
0	0.0081392582982236	3	13	GO:0031519	PcG protein complex	0.0429646093775082
0	0.0187133488585129	3	6	GO:0031595	nuclear proteasome complex	0.0912984595824417
0	2.06174468398975e-4	4	137	GO:0031966	mitochondrial membrane	0.00165970447061175
0	0.00793606070412814	2	19	GO:0032040	small-subunit processome	0.0429646093775082
0	6.45878514690961e-8	2	87	GO:0032993	protein-DNA complex	1.15540489850272e-6
0	2.30177697017315e-5	3	9	GO:0033290;GO:0070993;GO:0005852;GO:0016282	translation preinitiation complex	2.17991818939928e-4
0	1.33418780590328e-5	4	22	GO:0034708	methyltransferase complex	1.38583378548663e-4
0	1.40802069560138e-4	2	15	GO:0035097	histone methyltransferase complex	0.00119311227364117
0	0.0187133488585129	8	6	GO:0035267;GO:0043189;GO:1902562	H4/H2A histone acetyltransferase complex	0.0912984595824417
0	5.08659962024063e-24	3	538	GO:0043232;GO:0043228	intracellular non-membrane-bounded organelle	3.27577015543497e-22
0	2.99122751509029e-36	3	89	GO:0044391	ribosomal subunit	3.21058419953024e-34
0	1.19267816016212e-6	2	187	GO:0044427	chromosomal part	1.60017653155084e-5
0	4.02062103755465e-29	2	514	GO:0044428	nuclear part	3.23659993523149e-27
0	4.30188677915841e-8	2	235	GO:0044429	mitochondrial part	8.14827966405299e-7
0	3.44787180030652e-22	4	91	GO:0044445	cytosolic part	1.8503578661645e-20
0	1.90958478124485e-6	3	167	GO:0044451	nucleoplasm part	2.36494730600324e-5
0	1.80763935554189e-5	3	25	GO:0044452	nucleolar part	1.76381779540754e-4
0	7.60222798239311e-6	2	49	GO:0044455	mitochondrial membrane part	8.15972470110194e-5
0	0.0133008161755525	2	11	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)	0.0690784323956114
0	0.00528188827092216	2	7	GO:0045277	respiratory chain complex IV	0.0309230549679443
0	1.31553726355762e-6	3	15	GO:0046540;GO:0097526;GO:0097525	spliceosomal snRNP complex	1.69441199546221e-5
0	0.00677997588227222	4	25	GO:0055029;GO:0000428;GO:0030880	RNA polymerase complex	0.0389848613230653
