delta.rank	pval	level	nseqs	term	name	p.adj
0	2.8867823021207e-4	2	86	GO:0004553;GO:0016798	hydrolase activity, acting on glycosyl bonds	0.0116640365458458
0	4.92194549526378e-4	7	14	GO:0004697	protein kinase C activity	0.0174005249567855
0	0.00249186140420628	3	290	GO:0004888	transmembrane signaling receptor activity	0.0468002719977492
0	9.91465888690455e-7	1	558	GO:0005215	transporter activity	1.3757143755667e-4
0	1.23300875348698e-8	5	170	GO:0005216;GO:0022838;GO:0015267;GO:0022803	channel activity	7.41038260845675e-6
0	0.00243234852834531	8	35	GO:0005231;GO:0005230	extracellular ligand-gated ion channel activity	0.0468002719977492
0	0.00204232583372972	4	19	GO:0005245	voltage-gated calcium channel activity	0.0423254422783297
0	0.00197292203263277	4	41	GO:0005249;GO:0005267	potassium channel activity	0.0423254422783297
0	2.03537187682362e-7	2	102	GO:0005261	cation channel activity	4.07752832656999e-5
0	0.0033850733511636	3	36	GO:0005262	calcium channel activity	0.0616493661833128
0	0.0053423006467917	4	18	GO:0005310	dicarboxylic acid transmembrane transporter activity	0.0817313885290022
0	0.00520076671447222	4	21	GO:0005343	organic acid:sodium symporter activity	0.0817313885290022
0	0.00187799820822231	3	16	GO:0005528;GO:0005527;GO:0008144	drug binding	0.0423254422783297
0	0.00713487997883758	2	42	GO:0008146;GO:0016782	transferase activity, transferring sulfur-containing groups	0.0978549687452696
0	0.00101176149946832	2	39	GO:0008375	acetylglucosaminyltransferase activity	0.0264377678774113
0	7.31999764041385e-4	6	12	GO:0008440;GO:0051766	inositol trisphosphate kinase activity	0.0219965929094436
0	1.96595964372729e-4	5	128	GO:0008509	anion transmembrane transporter activity	0.00908878266061616
0	0.00365907808577583	2	9	GO:0010181	FMN binding	0.0646795861632728
0	0.00196872752477491	3	28	GO:0015020	glucuronosyltransferase activity	0.0423254422783297
0	1.35137743792987e-6	2	511	GO:0015075;GO:0022891;GO:0022857;GO:0022892	substrate-specific transporter activity	1.3757143755667e-4
0	3.80838775396951e-4	2	162	GO:0015077	monovalent inorganic cation transmembrane transporter activity	0.014305256500848
0	2.91115720778182e-4	2	55	GO:0015079	potassium ion transmembrane transporter activity	0.0116640365458458
0	4.37300253625087e-5	2	56	GO:0015081	sodium ion transmembrane transporter activity	0.00296305351719774
0	0.00620544892331982	2	45	GO:0015103	inorganic anion transmembrane transporter activity	0.0887970191170288
0	5.39643071558452e-4	6	57	GO:0015276;GO:0022834	ligand-gated channel activity	0.0180180825559239
0	7.81732424486066e-5	4	102	GO:0015291	secondary active transmembrane transporter activity	0.0040534780965579
0	0.0010850920956418401	5	56	GO:0015293;GO:0015294	symporter activity	0.0271725145616977
0	7.93381971716204e-4	6	32	GO:0015296	anion:cation symporter activity	0.0227058364286399
0	0.00520892388003099	3	34	GO:0015929	hexosaminidase activity	0.0817313885290022
0	0.0043679273537665	3	521	GO:0016301;GO:0016773	kinase activity	0.0750035525603905
0	4.49075480946323e-5	2	441	GO:0016491	oxidoreductase activity	0.00296305351719774
0	4.93020551946379e-5	2	50	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	0.00296305351719774
0	0.0053423006467917	4	18	GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	0.0817313885290022
0	0.00591119979766791	2	169	GO:0022804	active transmembrane transporter activity	0.0866495384975223
0	4.99074211194985e-8	2	124	GO:0022836	gated channel activity	1.49971800464093e-5
0	1.37342533334446e-6	3	69	GO:0022843;GO:0005244;GO:0022832	voltage-gated ion channel activity	1.3757143755667e-4
0	8.09346708131361e-5	6	274	GO:0022890;GO:0008324	cation transmembrane transporter activity	0.0040534780965579
0	0.00543969308013326	3	7	GO:0030551	cyclic nucleotide binding	0.0817313885290022
0	0.00716409088983671	2	25	GO:0035251;GO:0046527	glucosyltransferase activity	0.0978549687452696
0	0.00230354130252583	2	495	GO:0038023;GO:0004871;GO:0004872;GO:0060089	signal transducer activity	0.0461476107606008
0	2.0211588755335e-6	7	169	GO:0046873	metal ion transmembrane transporter activity	1.73530926313662e-4
0	8.44590081603699e-4	3	87	GO:0046943;GO:0005342;GO:0008514	organic anion transmembrane transporter activity	0.0230726654110829
0	7.09253064614329e-4	2	131	GO:0048037	cofactor binding	0.0219965929094436
0	0.00138013683219464	2	93	GO:0050662	coenzyme binding	0.0331784894459591
